index,hypothesis,system,mqm,sqm,gemba,domain,doc,source,reference
597,"Agreeing to master examination, Taiwan's economy performed ineffectively at the starting of the year, and the development weight isn't little.",refA,-1.0,63.5,-1.0,news,chinanews.com.280802,专家分析认为，台湾经济开年表现欠佳，增长压力不小。,"Agreeing to master examination, Taiwan's economy performed ineffectively at the starting of the year, and the development weight isn't little."
598,"Concurring to the monetary undertakings office of the Taiwan specialists, Taiwan's trades in January this year were 31.51 billion US dollars, an yearly diminish of 21.2%, and it was the fifth continuous month of negative development.",refA,-0.0,59.5,0.0,news,chinanews.com.280802,据台当局财政事务主管部门公布，台湾地区今年1月出口315.1亿美元，年减21.2%，连续第5个月负增长。,"Concurring to the monetary undertakings office of the Taiwan specialists, Taiwan's trades in January this year were 31.51 billion US dollars, an yearly diminish of 21.2%, and it was the fifth continuous month of negative development."
599,"Compared with the same period final year, the trade esteem of 11 major trade categories all declined.",refA,-0.0,63.0,0.0,news,chinanews.com.280802,11项主要出口货类的出口额与去年同期相比，均出现衰退。,"Compared with the same period final year, the trade esteem of 11 major trade categories all declined."
600,"The foremost noteworthy yearly decreases were seen in plastic elastic, its items, and optical hardware, at 37.6% and 35.7%, separately.",refA,-2.0,63.5,-5.0,news,chinanews.com.280802,塑橡胶及其制品、光学器材跌幅最深，分别年减37.6%、35.7%。,"The foremost noteworthy yearly decreases were seen in plastic elastic, its items, and optical hardware, at 37.6% and 35.7%, separately."
601,"The most prominent diminish in 11 a long time was seen within the trades of electronic parts and components, which dropped by 20.1% year over year.",refA,-1.0,63.0,-5.0,news,chinanews.com.280802,电子零组件出口年减20.1%，创11年来最大减幅。,"The most prominent diminish in 11 a long time was seen within the trades of electronic parts and components, which dropped by 20.1% year over year."
602,"Among them, coordinates circuits experienced the greatest yearly lessening in 14 a long time, falling 18.3% year over year.",refA,-0.0,60.0,0.0,news,chinanews.com.280802,其中，集成电路年减18.3%，创14年来最大跌势。,"Among them, coordinates circuits experienced the greatest yearly lessening in 14 a long time, falling 18.3% year over year."
603,"The buyer hardware industry's powerless request impact has expanded, and the division has entered a time of redress, agreeing to Cai Meina, executive of the department's insights division.",refA,-3.0,57.0,-1.0,news,chinanews.com.280802,该部门统计处长蔡美娜表示，这显示消费性电子产业需求疲弱效应扩散，电子产业进入修正期。,"The buyer hardware industry's powerless request impact has expanded, and the division has entered a time of redress, agreeing to Cai Meina, executive of the department's insights division."
604,"Concurring to measurements, Taiwan's imports and trades diminished in January, with the excess coming to a record-low US$2.34 billion.",refA,-1.0,62.5,-5.0,news,chinanews.com.280802,统计显示，1月台湾地区进出口双降，出超金额仅23.4亿美元，创近3年来最低水平。,"Concurring to measurements, Taiwan's imports and trades diminished in January, with the excess coming to a record-low US$2.34 billion."
618,"An basic driver of the world's recuperation, concurring to Chinanews com",refA,-0.0,61.0,0.0,news,chinanews.com.280817,“全球复苏的重要引擎”-中新网,"An basic driver of the world's recuperation, concurring to Chinanews com"
619,"""The Chinese economy has illustrated exceptional versatility within the confront of the impacts of the unused crown plague.",refA,-0.0,68.0,0.0,news,chinanews.com.280817,“应对新冠疫情冲击，中国经济展现出了强大韧性。,"""The Chinese economy has illustrated exceptional versatility within the confront of the impacts of the unused crown plague."
620,Current showcase desires illustrate that there's far reaching good faith approximately China's future advancement among the worldwide community.,refA,-0.0,75.0,0.0,news,chinanews.com.280817,近期市场预期表明，国际社会普遍看好中国未来发展。,Current showcase desires illustrate that there's far reaching good faith approximately China's future advancement among the worldwide community.
621,"There's wide certainty with respect to China's future improvement among the remote world, as seen by current advertise projections.",refA,-1.0,49.0,0.0,news,chinanews.com.280817,”西班牙知名中国问题专家、中国政策观察网名誉顾问胡里奥·里奥斯日前接受本报记者采访时表示，当前中国疫情防控进入新阶段，经济社会发展活力将进一步得到释放。,"There's wide certainty with respect to China's future improvement among the remote world, as seen by current advertise projections."
622,"Concurring to Rios, China reacted calmly to various stuns that were past desires with astounding financial administration ability and activities, completely illustrating its financial strength and administration capability.",refA,-0.0,77.0,0.0,news,chinanews.com.280817,里奥斯表示，面对各种超预期因素冲击，中国以非凡的经济治理经验和措施沉着应对，充分体现出其经济韧性和管理水平。,"Concurring to Rios, China reacted calmly to various stuns that were past desires with astounding financial administration ability and activities, completely illustrating its financial strength and administration capability."
623,"Indeed as China proceeds to broaden its opening to the exterior world, the inner control that drives financial development has been consistently fortified, and both state-owned and private businesses have developed together.",refA,-0.0,84.0,-1.0,news,chinanews.com.280817,中国坚定不移扩大对外开放的同时，经济发展的内生动力不断增强，国有企业和民营企业协同发展。,"Indeed as China proceeds to broaden its opening to the exterior world, the inner control that drives financial development has been consistently fortified, and both state-owned and private businesses have developed together."
624,"China's National Two Sessions are held each year, the squeezing subjects of people's employments and national advancement plans are talked about by agents and committee individuals, they accumulate suppositions, estimations, and information to reinforce China's advancement.",refA,-1.0,70.0,-1.0,news,chinanews.com.280817,每年中国全国两会召开，代表委员共商国家发展大计、共议民生热点问题，广泛凝聚共识、凝聚人心、凝聚智慧，为中国发展增添力量。,"China's National Two Sessions are held each year, the squeezing subjects of people's employments and national advancement plans are talked about by agents and committee individuals, they accumulate suppositions, estimations, and information to reinforce China's advancement."
625,"""China has had long-term quick advancement and is as of now moving into a period of high-quality advancement since the change and opening up.",refA,-0.0,71.0,0.0,news,chinanews.com.280817,“自改革开放以来，中国实现了长期高速发展，目前进入了高质量发展阶段。,"""China has had long-term quick advancement and is as of now moving into a period of high-quality advancement since the change and opening up."
626,The world expects Chinese understanding and answers and trusts that China's advance will open up unused openings for everybody.,refA,-0.0,67.0,0.0,news,chinanews.com.280817,国际社会期待中国智慧和中国方案，期待中国发展为世界带来新机遇。,The world expects Chinese understanding and answers and trusts that China's advance will open up unused openings for everybody.
627,"""Budgetary speculation, ability preparing, and arrangement motivations will make China proceed to be full of vigor within the unused five-year arrange,"" expressed Rios, including that China is presently making each exertion to empower specialized development and deliver modern force to financial and social advancement.",refA,-0.0,74.0,0.0,news,chinanews.com.280817,”里奥斯说，当前中国正全力推动科技创新，为经济社会发展注入新动力，“资金投入、人才培养、政策激励，这让中国在新的五年规划中继续充满活力”。,"""Budgetary speculation, ability preparing, and arrangement motivations will make China proceed to be full of vigor within the unused five-year arrange,"" expressed Rios, including that China is presently making each exertion to empower specialized development and deliver modern force to financial and social advancement."
637,"Agreeing to a report from Chinanews com, the number of remote understudies returning to China to explore for work in 2022 will reach a record tall",refA,-5.0,49.0,0.0,news,chinanews.com.280864,报告：2022年回国求职留学生数量再创新高-中新网,"Agreeing to a report from Chinanews com, the number of remote understudies returning to China to explore for work in 2022 will reach a record tall"
638,"The best 10 universal understudies seeking out for work in China in 2022, concurring to the ""2022 Chinese Returnee Business Study Report""",refA,-5.0,46.5,-5.0,news,chinanews.com.280864,2022年回国求职应届留学生留学国前10 图源：《2022中国海归就业调查报告》,"The best 10 universal understudies seeking out for work in China in 2022, concurring to the ""2022 Chinese Returnee Business Study Report"""
639,"Chinanews dot com, Beijing, February 11, (Men Rui) as of late discharged the ""2022 Chinese Returnees Work Overview Report"" (hereinafter alluded to as the ""Report""), which uncovers that the number of universal understudies in 2022 will increment by 8.6% year-on-year which the number of worldwide understudies returning to China for work chasing will reach a unused tall, Chinese businesses' request for foreign ability is additionally on the rise.",refA,-9.0,49.5,-6.0,news,chinanews.com.280864,中新网北京2月11日电 (门睿)近日发布的《2022中国海归就业调查报告》(下称“报告”)显示，2022年应届留学生规模同比增长8.6%，回国求职留学生数量再创新高，我国企业对海外人才的需求亦呈上扬态势。,"Chinanews dot com, Beijing, February 11, (Men Rui) as of late discharged the ""2022 Chinese Returnees Work Overview Report"" (hereinafter alluded to as the ""Report""), which uncovers that the number of universal understudies in 2022 will increment by 8.6% year-on-year which the number of worldwide understudies returning to China for work chasing will reach a unused tall, Chinese businesses' request for foreign ability is additionally on the rise."
640,"The overview famous that since 2020, both the number of later graduates returning to China to hunt for work and the number of returnees searching for work in China have enormously expanded.",refA,-1.0,52.0,0.0,news,chinanews.com.280864,报告指出，自2020年以来，在中国国内求职的海归数量明显增长，回国求职的应届留学生数量增多。,"The overview famous that since 2020, both the number of later graduates returning to China to hunt for work and the number of returnees searching for work in China have enormously expanded."
641,"The number of universal understudies graduating in 2022 will rise by 8.6% yearly compared to 2021, and a record-breaking number of worldwide understudies will return to China to explore for work.",refA,-4.0,50.5,0.0,news,chinanews.com.280864,与2021年相比，2022年应届留学生规模同比增长8.6%，回国求职留学生数量再创新高。,"The number of universal understudies graduating in 2022 will rise by 8.6% yearly compared to 2021, and a record-breaking number of worldwide understudies will return to China to explore for work."
642,"The UK has the most noteworthy rate, 41.4%, taken after by Australia (20.3%), and the Joined together States (9%), positioning the same as in 2021, in terms of the dispersion of universal understudies returning to China in look of work.",refA,-3.0,45.5,0.0,news,chinanews.com.280864,从回国求职留学生的留学国家分布来看，英国占比最高，为41.4%，其次是澳大利亚(20.3%)和美国(9%)，排名与2021年一致。,"The UK has the most noteworthy rate, 41.4%, taken after by Australia (20.3%), and the Joined together States (9%), positioning the same as in 2021, in terms of the dispersion of universal understudies returning to China in look of work."
643,"Agreeing to the development rate from year to year, there will be altogether more unused worldwide understudies from Malaysia, Japan, and Singapore in 2022 than there were in 2021, with development rates of 66.1%, 50.9%, and 37.7%, separately.",refA,-2.0,45.0,0.0,news,chinanews.com.280864,从同比增速来看，2022年来自马来西亚、日本、新加坡的应届留学生人数同比大幅上升，增速分别为66.1%、50.9%和37.7%。,"Agreeing to the development rate from year to year, there will be altogether more unused worldwide understudies from Malaysia, Japan, and Singapore in 2022 than there were in 2021, with development rates of 66.1%, 50.9%, and 37.7%, separately."
644,"From Canada, Germany, the Joined together States, and Australia, less unused worldwide understudies were conceded each year.",refA,-1.0,41.5,0.0,news,chinanews.com.280864,来自加拿大、德国、美国、澳大利亚的应届留学生人数同比下降。,"From Canada, Germany, the Joined together States, and Australia, less unused worldwide understudies were conceded each year."
645,"Within the to begin with week taking after the Spring Celebration in 2023, supply and request designs for nonnatives returning ""2022 Chinese Returnee Business Overview Report"" is the source",refA,-2.0,41.0,0.0,news,chinanews.com.280864,2023春节后第一周海归人才供需走势 图源：《2022中国海归就业调查报告》,"Within the to begin with week taking after the Spring Celebration in 2023, supply and request designs for nonnatives returning ""2022 Chinese Returnee Business Overview Report"" is the source"
646,"Agreeing to the overview, 58% of universal understudies who choose to return to China accept that ""household life is more helpful,"" 40% accept that ""household social environment is more pleasing,"" 32% accept that ""household work openings are more,"" and 22% accept that household financial exercises will hurry the recuperation and increment work openings.",refA,-9.0,46.5,-7.0,news,chinanews.com.280864,调研显示，决定回国的留学生中，58%认为“国内生活更加便利”，40%因“更认同国内的文化环境”决定回国，32%认为“国内就业机会更多”，22%认为国内经济活动会加速复苏，能获得更多就业机会。,"Agreeing to the overview, 58% of universal understudies who choose to return to China accept that ""household life is more helpful,"" 40% accept that ""household social environment is more pleasing,"" 32% accept that ""household work openings are more,"" and 22% accept that household financial exercises will hurry the recuperation and increment work openings."
656,Spare at slightest half the cost?,refA,-4.0,54.5,0.0,news,chinanews.com.280870,费用省一半甚至更多？,Spare at slightest half the cost?
657,"Dental embed restorative benefit estimating are standardized and coordinates in Henan territory, agreeing to Chinanews com",refA,-4.0,57.5,0.0,news,chinanews.com.280870,河南省规范整合口腔种植医疗服务价格-中新网,"Dental embed restorative benefit estimating are standardized and coordinates in Henan territory, agreeing to Chinanews com"
658,"CCTV news: For numerous patients who are lost teeth, dental inserts are the most excellent alternative, however, for an awfully long time, the taken a toll of tens of thousands of dollars per embed has hindered numerous individuals.",refA,-1.0,69.5,0.0,news,chinanews.com.280870,央视网消息：种植牙是很多缺牙患者的理想选择，但一直以来，动辄上万元一颗的价格让很多患者望而却步。,"CCTV news: For numerous patients who are lost teeth, dental inserts are the most excellent alternative, however, for an awfully long time, the taken a toll of tens of thousands of dollars per embed has hindered numerous individuals."
659,Cost diminishments for dental inserts have been on the table in a number of areas since the begin of this year due to the increasing speed of centralized acquirement.,refA,-2.0,68.0,0.0,news,chinanews.com.280870,今年以来，随着种植牙集采的加速落地，各地也将种植牙降价提上日程。,Cost diminishments for dental inserts have been on the table in a number of areas since the begin of this year due to the increasing speed of centralized acquirement.
660,"As of February 10, the cost of a single conventional dental implant medical treatment in Henan Province is regulated to be priced at 4,300 yuan for the full process, and it is prohibited from exceeding 97% of the regulatory objective.",refA,-4.0,74.0,0.0,news,chinanews.com.280870,从2月10日起，河南省单颗常规种植牙医疗服务价格全流程调控目标为4300元，单颗常规种植全流程费用不高于调控目标的97%。,"As of February 10, the cost of a single conventional dental implant medical treatment in Henan Province is regulated to be priced at 4,300 yuan for the full process, and it is prohibited from exceeding 97% of the regulatory objective."
661,An upper tooth substitution employing a dental embed is upheld and held by an fundamental component that's surgically embedded in bone tissue.,refA,-2.0,71.5,-1.0,news,chinanews.com.280870,种植牙齿指的是一种以植入骨组织内的下部结构为基础来支持、固位上部牙修复体的缺牙修复方式。,An upper tooth substitution employing a dental embed is upheld and held by an fundamental component that's surgically embedded in bone tissue.
662,"Concurring to the Primary Partnered Clinic of Zhengzhou College, the taken a toll for a single customary planting, as an illustration, ranges from 16,000 to 7,000 yuan from planting to last reclamation.",refA,-7.0,68.0,-25.0,news,chinanews.com.280870,记者从郑州大学第一附属医院了解到，以单颗常规种植为例，从种植到最后修复，价格大概要一万六七千元左右。,"Concurring to the Primary Partnered Clinic of Zhengzhou College, the taken a toll for a single customary planting, as an illustration, ranges from 16,000 to 7,000 yuan from planting to last reclamation."
663,"Persistent He Ying: With the unused arrangement, the specialist educated me that the fetched would be less than 10,000 yuan, or about 8,000 yuan, in my circumstance, which would basically result in a 50% reserve funds.",refA,-3.0,52.5,-1.0,news,chinanews.com.280870,患者 何莹：新政策之后，大夫跟我说，像我这种情况差不多就是8000多元、不到1万元，基本上能省一半。,"Persistent He Ying: With the unused arrangement, the specialist educated me that the fetched would be less than 10,000 yuan, or about 8,000 yuan, in my circumstance, which would basically result in a 50% reserve funds."
664,"Henan Area has moreover coordinates and decided 15 dental embed therapeutic benefit cost things, such as ""embed implantation expense (single)"", on the premise of the current extend and consistently defined the cost of common open therapeutic teach and restorative protections installment categories, canceling or altering 20 restorative benefit cost things, such as dental embed implantation.",refA,-6.1,70.0,-11.0,news,chinanews.com.280870,在现行项目基础上，河南省还整合确定了“种植体植入费(单颗)”等15个口腔种植类医疗服务价格项目，并统一制定省管公立医疗机构价格和医保支付类别，取消或调整了牙种植体植入术等20个医疗服务价格项目。,"Henan Area has moreover coordinates and decided 15 dental embed therapeutic benefit cost things, such as ""embed implantation expense (single)"", on the premise of the current extend and consistently defined the cost of common open therapeutic teach and restorative protections installment categories, canceling or altering 20 restorative benefit cost things, such as dental embed implantation."
665,"Li Yunjie, Head of the Zhengzhou Therapeutic Security Bureau's Pharmaceutical Estimating and Offering and Buying Office The Quartet will fundamentally advantage from the taking after: restorative protections, which can result in lower costs; diminished healing center inhabitance; and an satisfactorily expanded understanding populace, a market; our patients stand to pick up the foremost from it, and the cost of a dental embed can be cut in half or more.",refA,-15.0,69.5,-25.0,news,chinanews.com.280870,郑州市医疗保障局医药价格和招标采购处处长 李云杰：受益的主要是四方，一个是医保，医保的支出少了；医院的占压少了，病人会适当增加；对供应商来说得到了一个市场；对我们患者来说是得利最大的一方，植一颗牙的费用可能要减半甚至更多。,"Li Yunjie, Head of the Zhengzhou Therapeutic Security Bureau's Pharmaceutical Estimating and Offering and Buying Office The Quartet will fundamentally advantage from the taking after: restorative protections, which can result in lower costs; diminished healing center inhabitance; and an satisfactorily expanded understanding populace, a market; our patients stand to pick up the foremost from it, and the cost of a dental embed can be cut in half or more."
666,"Shenzhen is creating the best residential and worldwide speed pioneer city, concurring to Chinanews com",refA,-0.0,89.0,-5.0,news,chinanews.com.280872,深圳：打造国内第一、世界领先的极速先锋城市-中新网,"Shenzhen is creating the best residential and worldwide speed pioneer city, concurring to Chinanews com"
667,"Beijing News, February 11, the Shenzhen Civil Bureau of Industry and Data Innovation has discharged the ""Shenzhen Quick Pioneer City Building Activity Arrange,"" concurring to news from the ""Shenzhen Gongxin"" WeChat open account on October 10.",refA,-2.1,89.0,-1.0,news,chinanews.com.280872,中新网2月11日电 据“深圳工信”微信公众号10日消息，深圳市工业和信息化局近日印发《深圳市极速先锋城市建设行动计划》。,"Beijing News, February 11, the Shenzhen Civil Bureau of Industry and Data Innovation has discharged the ""Shenzhen Quick Pioneer City Building Activity Arrange,"" concurring to news from the ""Shenzhen Gongxin"" WeChat open account on October 10."
668,"To attain the objective of ""double gigabit, all-optical arrange, 1 millisecond, and the Web of Everything"" arrange development, it is recommended that by the conclusion of 2023, a high-speed, large-capacity, and low-latency ultra-broadband organize will be built, this will make the primary in China and the driving Speed pioneer city.",refA,-2.0,87.0,-1.0,news,chinanews.com.280872,其中提出，2023年底前，建成高速率、大容量、低时延的超级宽带网络，实现“双千兆、全光网、1毫秒、万物联”网络建设目标，打造国内第一、世界领先的极速先锋城市。,"To attain the objective of ""double gigabit, all-optical arrange, 1 millisecond, and the Web of Everything"" arrange development, it is recommended that by the conclusion of 2023, a high-speed, large-capacity, and low-latency ultra-broadband organize will be built, this will make the primary in China and the driving Speed pioneer city."
669,"The ""Arrange"" proposes quickly modernizing gigabit optical systems.",refA,-0.0,87.0,-5.0,news,chinanews.com.280872,《计划》提出，加快升级千兆光网。,"The ""Arrange"" proposes quickly modernizing gigabit optical systems."
670,"The rate of 10G PON ports will be 100% by the conclusion of 2023, and there will be more than 100 mechanical parks that are totally optical.",refA,-1.0,88.0,0.0,news,chinanews.com.280872,2023年底前，10G PON端口占比达到100%，全光工业园区(产业园区)数量超过100家。,"The rate of 10G PON ports will be 100% by the conclusion of 2023, and there will be more than 100 mechanical parks that are totally optical."
671,"The ""Arrange"" orders that 5G networks' in general vitality proficiency be expanded.",refA,-0.0,87.0,0.0,news,chinanews.com.280872,《计划》要求，全面提升5G网络能效。,"The ""Arrange"" orders that 5G networks' in general vitality proficiency be expanded."
672,"Conduct 5G organize testing and appraisal, create Shenzhen 5G arrange benefit quality standards and benchmarks, and improve 5G arrange benefit quality.",refA,-0.0,91.0,0.0,news,chinanews.com.280872,研究制定深圳5G网络服务质量规范标准，开展5G网络测试评估，提升5G网络服务质量。,"Conduct 5G organize testing and appraisal, create Shenzhen 5G arrange benefit quality standards and benchmarks, and improve 5G arrange benefit quality."
673,"Conduct 5G arrange testing and evaluation, create Shenzhen 5G arrange benefit quality standards and measures, and upgrade 5G arrange benefit quality.",refA,-1.0,39.0,-2.0,news,chinanews.com.280872,支持基础电信企业加大对重点区域、场所5G网络的优化力度，全年新增5G基站10000个，全市平均下载速率达到500Mbps、上行速率达到100Mbps，重点区域下载速率达到1000Mbps、上行速率达到200Mbps，网络速率和用户体验感大幅提升。,"Conduct 5G arrange testing and evaluation, create Shenzhen 5G arrange benefit quality standards and measures, and upgrade 5G arrange benefit quality."
674,Construct a top-notch remote LAN at the city level.,refA,-0.0,76.0,0.0,news,chinanews.com.280872,打造城市级高品质无线局域网。,Construct a top-notch remote LAN at the city level.
675,"Create remote nearby range organize (WLAN) benefit details for open spaces, thrust for WLAN updates in neighborhoods with a tall concentration of individuals and a tall request for data utilization, and offer gigabit get to alternatives.",refA,-0.0,84.0,0.0,news,chinanews.com.280872,制定公共场所无线局域网(WLAN)服务规范，推动全市各区人员密集和信息消费需求集中区域WLAN升级，提供千兆接入能力。,"Create remote nearby range organize (WLAN) benefit details for open spaces, thrust for WLAN updates in neighborhoods with a tall concentration of individuals and a tall request for data utilization, and offer gigabit get to alternatives."
686,"The e-commerce sector in China has ""new variables"" now, how do we achieve ""content is king""?",refA,-12.0,78.0,-25.0,news,chinanews.com.280875,中国电商行业涌现“新变量”，带货如何做到“内容为王”？,"The e-commerce sector in China has ""new variables"" now, how do we achieve ""content is king""?"
687,- Chinanews.com,refA,-0.0,88.0,0.0,news,chinanews.com.280875,-中新网,- Chinanews.com
688,"Chinanews dot com February 11, new variables in China's e-commerce sector, how to make ""content is king""?",refA,-17.0,76.0,-25.0,news,chinanews.com.280875,中新网2月11日电 题：中国电商行业涌现“新变量”，带货如何做到“内容为王”？,"Chinanews dot com February 11, new variables in China's e-commerce sector, how to make ""content is king""?"
689,"Xia Bin, a reporter with China New Finance and Economics",refA,-2.0,80.5,-5.0,news,chinanews.com.280875,中新财经记者 夏宾,"Xia Bin, a reporter with China New Finance and Economics"
690,"Late to e-commerce, but understood content is key to stand out.",refA,-0.0,63.0,0.0,news,chinanews.com.280875,“我们入局电商算是晚的，但从最开始就意识到，想要从千千万万的店铺中脱颖而出，内容很重要。,"Late to e-commerce, but understood content is key to stand out."
691,"At Douyin's e-commerce sharing session, Fang Fang shared her daily creative experience as high-quality content creator.",refA,-6.1,70.0,0.0,news,chinanews.com.280875,”来自广东的“90后”女生芳芳，现在在抖音电商运营一家滋补食材店铺，让一家有着30多年历史的线下店在线上“开花”。,"At Douyin's e-commerce sharing session, Fang Fang shared her daily creative experience as high-quality content creator."
692,Check out @Douyin for a stunning video with a vintage Hong Kong film style and classic Cantonese music.,refA,-8.0,58.0,-6.0,news,chinanews.com.280875,模仿老港片影调、配上经典粤语歌，打开@芳芳一人食抖音账号，精美的视频令人耳目一新。,Check out @Douyin for a stunning video with a vintage Hong Kong film style and classic Cantonese music.
693,"At Douyin's e-commerce sharing session, Fang Fang shared her daily creative experience as high-quality content creator.",refA,-7.0,61.0,-5.0,news,chinanews.com.280875,在近日举行的抖音电商“寻找同行者·优质内容分享专场”上，芳芳作为优质创作者代表到场发言，介绍了日常创作的经历和体会。,"At Douyin's e-commerce sharing session, Fang Fang shared her daily creative experience as high-quality content creator."
694,"She said that the well-made video had caught the eye of many online users, as a result, sales began to rise immediately as numerous individuals were intrigued by her cooking ingredients and wanted to cook tasty dishes with her.",refA,-2.0,77.0,-6.0,news,chinanews.com.280875,她在现场说：“精心打磨的视频收获了很多网友的关注，好多人对我家的食材感兴趣，想跟着一起做美食，销路就一下子打开了。,"She said that the well-made video had caught the eye of many online users, as a result, sales began to rise immediately as numerous individuals were intrigued by her cooking ingredients and wanted to cook tasty dishes with her."
695,”,refA,-0.0,86.5,-1.0,news,chinanews.com.280875,”,”
714,“Beijing Financial Exchange's margin trading and securities lending business to launch next week - China News Network”,refA,-10.0,88.0,0.0,news,chinanews.com.280883,北交所融资融券交易业务下周启动-中新网,“Beijing Financial Exchange's margin trading and securities lending business to launch next week - China News Network”
715,"(Reporter Sun Jie) Last night, the Beijing Stock Exchange (BSE) issued a news release, approved by the China Securities Regulatory Commission, the Beijing Stock Exchange financing and securities trading business will be officially launched on February 13, when the securities companies that have obtained the BSE's financing and securities trading authority can accept investors' entrustment and declare financing and securities trading to the BSE.",refA,-20.0,85.0,-1.0,news,chinanews.com.280883,本报讯(记者 孙杰)昨晚，北交所发布消息，经中国证监会批准，北京证券交易所融资融券交易业务将于2月13日正式启动，届时已取得北交所融资融券交易权限的证券公司可接受投资者委托，向北交所进行融资融券交易申报。,"(Reporter Sun Jie) Last night, the Beijing Stock Exchange (BSE) issued a news release, approved by the China Securities Regulatory Commission, the Beijing Stock Exchange financing and securities trading business will be officially launched on February 13, when the securities companies that have obtained the BSE's financing and securities trading authority can accept investors' entrustment and declare financing and securities trading to the BSE."
716,"The initial list of 56 margin trading and securities lending eligible stocks was determined as of January 31, 2023.",refA,-5.1,86.0,0.0,news,chinanews.com.280883,首批56只融资融券标的股票名单以2023年1月31日为计算基准日确定。,"The initial list of 56 margin trading and securities lending eligible stocks was determined as of January 31, 2023."
717,"""According to the BSE, the list of stocks subject to financing and financing and the list of securities eligible for margin will be published through the """"Information Disclosure - Financing and Financing Information"""" section of the BSE's official website for the convenience of investors.""",refA,-20.1,83.0,0.0,news,chinanews.com.280883,北交所表示，融资融券标的股票名单和可充抵保证金证券名单将通过北交所官网的“信息披露-融资融券信息”栏目公布，方便投资者查询。,"""According to the BSE, the list of stocks subject to financing and financing and the list of securities eligible for margin will be published through the """"Information Disclosure - Financing and Financing Information"""" section of the BSE's official website for the convenience of investors."""
718,Margin trading and securities lending is an important foundational system in the securities market and is also a more mature trading method in international securities markets.,refA,-5.0,87.0,0.0,news,chinanews.com.280883,融资融券是证券市场重要的基础性制度，也是国际证券市场中较为成熟的交易方式。,Margin trading and securities lending is an important foundational system in the securities market and is also a more mature trading method in international securities markets.
719,"On September 2 of last year, on the occasion of its first anniversary since establishment, Beijing Financial Exchange (Beijing Exchange) publicly solicited opinions regarding the margin trading and securities lending business.",refA,-5.0,86.0,0.0,news,chinanews.com.280883,去年9月2日，在宣布设立一周年之际，北交所对融资融券业务公开征求意见。,"On September 2 of last year, on the occasion of its first anniversary since establishment, Beijing Financial Exchange (Beijing Exchange) publicly solicited opinions regarding the margin trading and securities lending business."
720,"The launch of margin trading and securities lending trading by Beijing Financial Exchange (Beijing Exchange) is an important measure in the continuous promotion of market system construction, improvement of trading mechanisms, and enhancement of the pricing function of the secondary market for the Beijing Exchange.",refA,-15.0,84.0,0.0,news,chinanews.com.280883,北交所融资融券交易的启动是持续推进北交所市场制度建设、完善交易机制、提升二级市场定价功能的重要举措。,"The launch of margin trading and securities lending trading by Beijing Financial Exchange (Beijing Exchange) is an important measure in the continuous promotion of market system construction, improvement of trading mechanisms, and enhancement of the pricing function of the secondary market for the Beijing Exchange."
721,"The margin trading and securities lending system is beneficial for enriching investors' trading strategies, meeting diverse trading demands, promoting market price discovery, and further enhancing market liquidity.",refA,-5.0,82.0,0.0,news,chinanews.com.280883,融资融券制度有利于丰富投资者交易策略，满足投资者多元交易需求，促进市场价格发现，进一步提升市场流动性。,"The margin trading and securities lending system is beneficial for enriching investors' trading strategies, meeting diverse trading demands, promoting market price discovery, and further enhancing market liquidity."
722,"In the next step, under the leadership of the China Securities Regulatory Commission, the Beijing Stock Exchange will continue to enhance various safeguards for margin trading and securities lending business, enrich trading system tools based on investor demand, improve relevant supporting mechanisms, and strive to build a first-class exchange that serves innovative small and medium-sized enterprises.",refA,-15.0,84.0,-7.0,news,chinanews.com.280883,下一步，北交所将在中国证监会的领导下，持续做好融资融券业务各项保障工作，以投资者需求为导向丰富交易制度工具，完善相关配套机制，着力打造服务创新型中小企业的一流交易所。,"In the next step, under the leadership of the China Securities Regulatory Commission, the Beijing Stock Exchange will continue to enhance various safeguards for margin trading and securities lending business, enrich trading system tools based on investor demand, improve relevant supporting mechanisms, and strive to build a first-class exchange that serves innovative small and medium-sized enterprises."
723,The 16th China-Japan Energy Conservation and Environmental Protection Forum held He Lifeng to attend the main forum and delivered a keynote speech in Beijing,refA,-1.1,72.5,-1.0,news,chinanews.com.280933,第十六届中日节能环保综合论坛在京举办 何立峰出席主论坛并发表主旨演讲-中新网,The 16th China-Japan Energy Conservation and Environmental Protection Forum held He Lifeng to attend the main forum and delivered a keynote speech in Beijing
724,"On February 11, the 16th China-Japan Energy Conservation and Environmental Protection Comprehensive Forum was held in Beijing, combining both online and offline formats.",refA,-2.0,78.5,-5.0,news,chinanews.com.280933,新华社北京2月11日电 2月11日，第十六届中日节能环保综合论坛以线上线下相结合方式在北京举办。,"On February 11, the 16th China-Japan Energy Conservation and Environmental Protection Comprehensive Forum was held in Beijing, combining both online and offline formats."
725,"Member of the Political Bureau of the Communist Party of China Central Committee and Director of the National Development and Reform Commission, He Lifeng, attended the main forum and delivered a keynote speech.",refA,-0.0,75.0,0.0,news,chinanews.com.280933,中共中央政治局委员、国家发展改革委主任何立峰出席主论坛并发表主旨演讲。,"Member of the Political Bureau of the Communist Party of China Central Committee and Director of the National Development and Reform Commission, He Lifeng, attended the main forum and delivered a keynote speech."
