id,source,reference,target,error_span,category,severity,type,source_lang,target_lang
284,11项主要出口货类的出口额与去年同期相比，均出现衰退。,"Compared with the same period final year, the trade esteem of 11 major trade categories all declined.",The <v> export value of all 11 </v> major categories of goods declined compared to the same period last year., export value of all 11 ,no-error,no-error,gp,Chinese,English
285,其实越是亲密的人越需要赞赏和感恩，这样我们的生活才会变得更加美好。,"In fact, the closer individuals are to us, the more we need to show them respect and appreciation for them, in order for our lives to improve.","In fact, the closer we are, the more we need to appreciate and be <v> grateful, so that our lives </v> will become better."," grateful, so that our lives ",no-error,no-error,gp,Chinese,English
286,近日，知名健身机构中健健身会员维权问题引起社会关注。,"Recently, concerns over the protection of members' rights by the well-known fitness organization Zhongjian Fitness have garnered public attention.","Recently, the issue of <v> protecting the rights of healthy </v> members in well-known fitness facilities has attracted social attention.", protecting the rights of healthy ,no-error,no-error,gp,Chinese,English
287,宁愿国内贵一半，有保障点。,I'd rather pay half as much in China and get a warranty.,It <v> would be better to have </v> half the domestic cost and have a point of security., would be better to have ,no-error,no-error,gp,Chinese,English
288,等到周一我再看订单显示，竟然已经发货了，我也是无语了。,I was in awe when I noticed that the purchase had already been dispatched when I checked the order display on Monday.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,"When I looked at <v> the order again on Monday, </v> it showed that it had been delivered, and I was speechless."," the order again on Monday, ",no-error,no-error,gp,Chinese,English
289,怀疑1箱里面的2包，质量还不一样啊。,"The 2 products in 1 box might not be of the same quality, in my opinion.",I suspect that the quality of <v> the two packages in one </v> box is not the same., the two packages in one ,no-error,no-error,gp,Chinese,English
290,稍早最高领袖阿亚图拉·阿里·哈梅内伊(Ayatollah Ali Khamenei) 发布了一项大赦令，其中包括一些在最近的反政府抗议活动中被捕的囚犯。,Supreme Leader Ayatollah Ali Khamenei earlier issued an amnesty that included some prisoners arrested during recent anti-government protests.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,"Earlier, Supreme <v> Leader Ayatollah Ali Khamenei issued </v> an amnesty that included some prisoners arrested during recent anti-government protests.‏‏‏", Leader Ayatollah Ali Khamenei issued ,no-error,no-error,gp,Chinese,English
291,当时，由于东德各地的抗议者要求民主和自由，共产党领导人被迫下台。,"At that time, due to widespread protests demanding democracy and freedom across East Germany, Communist party leaders were forced to step down.","At the <v> time, Communist leaders were forced </v> to step down as protesters across East Germany demanded democracy and freedom."," time, Communist leaders were forced ",no-error,no-error,gp,Chinese,English
292,这本书与其说是短篇小说集，不如说是生活中关于爱情的碎片收集。,This book is more of a collection of fragments about love in life than it is a compilation of short stories.,"This <v> book is less a collection </v> of short stories, and more a collection of fragments about love from life.", book is less a collection ,no-error,no-error,gp,Chinese,English
293,但阿片类药物的相关危害却因使用者较少而受到忽视。,"Few opioid users, unnoticed risks.","However, the harms associated with opioids have been overlooked because <v> of the low number of </v> users.", of the low number of ,no-error,no-error,gp,Chinese,English
294,新增加的一个基地距离台湾300公里，也是最接近中国的一个地点。,"""The newly added base is located 300 kilometers away from Taiwan, and it is also the closest location to China.""",One of the new additions is 300 kilometers from Taiwan <v> and the closest location to </v> China., and the closest location to ,no-error,no-error,gp,Chinese,English
295,希望是正品质量有保证，以后是不怎么敢亚马孙买东西的了。,"I'm hoping it's real and of guaranteed quality, In the future, I won't have the guts to order anything from Amazon.",I hope it is <v> genuine and the quality is </v> guaranteed. I will not dare to buy things from Amazon in the future., genuine and the quality is ,no-error,no-error,gp,Chinese,English
296,1月31日的首次罢工示威活动在全国集结起127万到250万人。,The first strike demonstrations on January 31 rallied between 1.27 and 25 million people across the country‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,The first strike demonstration on January <v> 31 rallied between 1.27 million </v> to 2.5 million people nationwide.‏, 31 rallied between 1.27 million ,no-error,no-error,gp,Chinese,English
297,经济观察网记者陈姗基金购买渠道繁杂导致账户信息归集不易？,"Economic Observer reporter Chen Shan, Is it difficult to collect account information due to the complicated purchase channels of funds?",Economic Observer Network reporter Chen Shan: Is it difficult <v> to consolidate account information due </v> to the complex channels of fund purchase?, to consolidate account information due ,no-error,no-error,gp,Chinese,English
298,很久前读的，恰巧看见了凭记忆写点读后感吧。,"I happened to notice it because I read about it a long time ago, so I'll just write from memory.","I read it a long time ago, and <v> I happened to see it </v> and write something about it from memory.", I happened to see it ,no-error,no-error,gp,Chinese,English
299,要求换货，结果货到上海都三天了，还不送过来。,"Although I requested a replacement, it took the items three days to reach Shanghai and they have still not been delivered.","I asked for a replacement, but <v> it took three days for </v> the goods to arrive in Shanghai, and they still haven't been delivered.", it took three days for ,no-error,no-error,gp,Chinese,English
300,我们竭诚欢迎海内外客商前来合作，共创辉煌！,Customers from both home and abroad are cordially invited to work with us and produce greatness together!,We sincerely welcome customers from home and abroad to <v> cooperate with us and create </v> brilliance together!, cooperate with us and create ,no-error,no-error,gp,Chinese,English
301,NEWS GOV-MO: 警情通告：司警局呼吁市民提防假冒电讯公司诈骗短讯,NEWS GOV-MO: Alert: SFPD urges citizens to beware of fraudulent SMS messages from fake telecommunication companies,NEWS <v> GOV-MO: Police Notice: The Superintendent </v> Police Department urges the public to beware of fraudulent SMS messages from fake telecommunications companies, GOV-MO: Police Notice: The Superintendent ,no-error,no-error,gp,Chinese,English
302,台湾执政的民进党连日澄清拒绝接受“九二共识”。,Taiwan's ruling Democratic Progressive Party (DPP) has for days clarified its refusal to accept the 1992 Consensus.,"The ruling Democratic Progressive Party in <v> Taiwan has been clarifying its </v> refusal to accept the ""1992 Consensus"" in recent days.", Taiwan has been clarifying its ,no-error,no-error,gp,Chinese,English
303,目前其中大多是兴奋剂，其次是合成的大麻素受体激动剂和少量的类阿片。,"These days, stimulants make up the larger part of these, taken after by manufactured cannabinoid receptor agonists and a little number of opioids.","Most of them are now stimulants, followed by synthetic cannabinoid receptor <v> agonists and small quantities of </v> opioids.", agonists and small quantities of ,no-error,no-error,gp,Chinese,English
304,于是发邮件给卖家问是否能提供快递单号，过了两天一直没有回复。,"So I emailed the vendor to ask whether I could share the tracking number, but after two days there was still no response.","An email was sent to <v> the seller asking if the </v> courier number could be provided, and no reply was received after two days.", the seller asking if the ,no-error,no-error,gp,Chinese,English
305,商家比较负责，专门打电话问所用相机的屏幕尺寸，确实替客户着想了。,"The retailer is acting more responsibly by contacting especially to inquire about the camera's screen size, which is done for the customer's benefit.","The merchant was quite responsible, specifically calling to ask about the screen size <v> of the camera used, truly </v> considering the customer's needs."," of the camera used, truly ",no-error,no-error,gp,Chinese,English
306,而且商品产品包装问题，我看评论2016年就有人评论过，到现在19年，还是老样子。,"And the issue with product packaging hasn't changed in 19 years, according to comments I read in 2016, Someone left a comment about it.","<v> Moreover, regarding the issue of </v> product packaging, I saw comments from as early as 2016, and now in 2019, it's still the same."," Moreover, regarding the issue of ",no-error,no-error,gp,Chinese,English
307,美国就业市场供需持续紧张将是2023年美国经济的底色。,The ongoing tightness in the US job market's supply and demand will be a prevailing characteristic of the US economy in 2023.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,Continued tight supply and demand in the <v> US job market will underpin </v> the US economy in 2023., US job market will underpin ,no-error,no-error,gp,Chinese,English
308,习近平指出，中国人民热爱和平、珍视生命，援外医疗就是生动的体现。,"Xi Jinping pointed out that the Chinese people love peace and cherish life, and medical aid to foreign countries is a vivid embodiment.","Xi Jinping pointed out that the Chinese people love peace and cherish <v> life, which is vividly reflected </v> in foreign aid and medical treatment."," life, which is vividly reflected ",no-error,no-error,gp,Chinese,English
309,新华社北京2月11日电2月11日，第十六届中日节能环保综合论坛以线上线下相结合方式在北京举办。,"On February 11, the 16th China-Japan Energy Conservation and Environmental Protection Comprehensive Forum was held in Beijing, combining both online and offline formats.","BEIJING, Feb. 11 (Xinhua) -- The 16th China-Japan Comprehensive Forum on Energy <v> Conservation and Environmental Protection was </v> held in Beijing on February 11.", Conservation and Environmental Protection was ,no-error,no-error,gp,Chinese,English
310,贩运者由于旅行限制而无法越境，可能不得不寻找新的路线和方法。,"Due to travel limitations, traffickers may got to discover elective courses and methods to cross nations.",Traffickers who are unable to cross borders due to travel restrictions <v> may have to find new </v> routes and methods., may have to find new ,no-error,no-error,gp,Chinese,English
311,22 岁的阿米尼Mahsa Amini 于9 月在该国道德警察的拘禁中死亡后，全国范围内的抗议活动席卷仍然在伊朗。,Protests continue to sweep across Iran following the death of 22-year-old Mahsa Amini in September during her detention by the country's moral police.,Nationwide protests swept across Iran following the death of 22-year-old Mahsa Amini in the custody <v> of the country's morality police </v> in September., of the country's morality police ,no-error,no-error,gp,Chinese,English
312,电商套路深，有时间还是去超市买了。,"Since e-commerce processes are complex, I still go to the grocery store to make purchases when I have time.","E-commerce routines are deep, so I still go to the <v> supermarket to buy when I </v> have time.", supermarket to buy when I ,no-error,no-error,gp,Chinese,English
313,半导体产业是高技术和知识密集型产业，早已形成联系紧密的全球半导体产业链。,"The semiconductor industry is a high-tech, knowledge-intensive sector of the economy, and a globally interconnected chain of the semiconductor industry has long developed.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏",<v> The semiconductor industry is a </v> high-technology and knowledge-intensive industry that has long formed a closely connected global semiconductor industry chain., The semiconductor industry is a ,no-error,no-error,gp,Chinese,English
314,加拿大、乌拉圭和美国的11个法域允许制造大麻产品供非医疗使用。,"The generation of cannabis items for non-medical utilize is legitimate in eleven wards over Canada, Uruguay, and the Joined together States.","Canada, Uruguay, and 11 jurisdictions in <v> the United States allow the </v> production of cannabis products for non-medical use.", the United States allow the ,no-error,no-error,gp,Chinese,English
315,在许多国家，这一疾病己使医疗服务机构穷于应付，几近崩溃，各国政府实施的限制措施已在全球经济中造成了严重紊乱。,"The affliction has disabled wellbeing frameworks in a few countries to the point of collapse, and government confinements have seriously disturbed the world economy.","In many countries, the disease has overwhelmed health services to the point of collapse, and restrictions imposed <v> by governments have caused severe disruption </v> in the global economy.", by governments have caused severe disruption ,no-error,no-error,gp,Chinese,English
316,另一名受伤的55 岁男子被确认为Masallah Cicek，他是从土耳其东南部最大城市迪亚巴克尔一座倒塌建筑的废墟中救出来的。,"Another injured 55-year-old man has been identified as Masallah Cicek, who was rescued from the wreckage of a collapsed building in Diyarbakir, the largest city in southeastern Turkey.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Another injured 55-year-old man, identified as Masallah <v> Cicek, was rescued from the rubble </v> of a collapsed building in Diyarbakir, Turkey's largest city in the southeast.‏‏‏"," Cicek, was rescued from the rubble ",no-error,no-error,gp,Chinese,English
317,2月10日，证监会公告称，“基金E账户”APP在各手机应用商店上架并开展公开试运行。,"On February 10, the China Securities Regulatory Commission (CSRC) announced that the ""Fund E-account"" app has been made available on various mobile app stores and is undergoing public trial operation.","On February 10, the CSRC announced that the ""Fund <v> E-account"" APP has been launched in </v> various mobile app stores and is undergoing public beta testing."," E-account"" APP has been launched in ",no-error,no-error,gp,Chinese,English
318,据华尔街日报今天报道称，气球事件后，美国准备进一步收紧对华技术出口。,"According to The Wall Street Journal's report today, following the balloon incident, the United States is preparing to further tighten technology exports to China.","According to a report in the Wall Street Journal <v> today, the US is preparing to </v> further tighten technology exports to China following the balloon incident."," today, the US is preparing to ",no-error,no-error,gp,Chinese,English
319,以前用过一块西铁城的，感觉一两年也不会差几秒。,"I've used Citizen previously, and I believe that it won't lag behind by a few seconds in a year or two.","I used to have a Citizen watch, and I feel it wouldn't be <v> off by a few seconds even </v> after one or two years.", off by a few seconds even ,no-error,no-error,gp,Chinese,English
320,一些生产者可能会被迫寻找新的方法来制造毒品，因为限制流动的同时也限制了前体和基本化学品的获取。,"Due to the constrained get to to antecedents and essential chemicals caused by development confinements, certain makers may be obliged to create modern strategies of medicine generation.","Some producers may be forced to find new ways to manufacture drugs, as <v> restrictions on movement also limit access </v> to precursors and essential chemicals.", restrictions on movement also limit access ,no-error,no-error,gp,Chinese,English
321,而第一夫人李雪主全程只能走在后头或是坐在一旁，总是距离丈夫和女儿有几步之差。,"The first lady, Li Xuezhu, could only walk behind or sit aside, always a few steps away from her husband and daughter.","However, the first lady, Ri Sol-ju, could only walk behind or sit aside the whole time, always a <v> few steps away from her husband </v> and daughter.", few steps away from her husband ,no-error,no-error,gp,Chinese,English
322,奇迹般的成功营救案例给原本已经希望渺茫的搜救工作带来了一线曙光，然而与此同时，遇难人数也在不断上升。,"The miraculous successful rescue case brought a glimmer of hope to the previously bleak search and rescue operation, but at the same time, the number of casualties continues to rise.","Miraculous successful rescue cases brought a glimmer of hope to <v> the originally hopeless rescue work, but </v> at the same time, the number of casualties is also rising."," the originally hopeless rescue work, but ",no-error,no-error,gp,Chinese,English
323,决定一个人工作满意度的第一要素不是薪水高低，而是在工作中是否得到了足够重视和赏识。,"Not the amount of pay, but rather whether or not a person feels valued and given enough attention at work, is the primary determinant of job happiness.","The primary factor determining a person's job satisfaction is not the level of salary, but <v> whether they receive enough recognition and </v> appreciation in their work.", whether they receive enough recognition and ,no-error,no-error,gp,Chinese,English
324,据欧盟委员会估计，欧盟的申根国家去年收到超92万份庇护申请，比前一年增加近半。,"According to estimates from the European Commission, the Schengen member states of the EU received more than 920,000 asylum claims in 2017—a nearly 50% rise from the year before.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","According to estimates by the European Commission, Schengen countries in the EU received over 920,000 asylum applications last year, <v> nearly half more than the previous </v> year.‏", nearly half more than the previous ,no-error,no-error,gp,Chinese,English
325,根据峰会文件，欧盟领导人呼吁委员会“立即调动大量欧盟资金”，以基础设施和监视等手段加强外部边界。,"EU leaders requested the Commission to ""quickly mobilize substantial EU funding,"" including through infrastructure and monitoring, to bolster external borders, according to the summit document.","According to the summit document, EU leaders <v> called on the Commission to ""immediately </v> mobilize substantial EU funds"" to strengthen external borders, including through infrastructure and surveillance."," called on the Commission to ""immediately ",no-error,no-error,gp,Chinese,English
326,打电话亚马逊，让我联系代理公司，代理公司让我自费把设备寄去上海检测。,"I called Amazon and requested them to put me in touch with the agency, who told me to pay for the shipping of the equipment to Shanghai for testing.","I called Amazon, and they told me to contact the agency, which asked me to send the device to <v> Shanghai for inspection at my own </v> expense.", Shanghai for inspection at my own ,no-error,no-error,gp,Chinese,English
327,根据日本媒体的说法，岸田文雄希望藉这次会晤帮助日菲两国建立针对台海危机的政策。,"""According to Japanese media reports, Fumio Kishida hopes to use this meeting to help Japan and the Philippines establish policies regarding the Taiwan Strait crisis.""","According to <v> Japanese media, Kishida hoped to use </v> the meeting to help Japan and the Philippines establish policies to deal with the Taiwan Strait crisis."," Japanese media, Kishida hoped to use ",no-error,no-error,gp,Chinese,English
328,"相对于GB 18030 一2005 ,部分代码位置上的字形和/或所对应的GB/TI 13000 代码位置在本文件中进行了调整( 见附录D)。",Glyphs/code positions in this report contrast from GB 18030-2005 (See App D).,"Compared with GB 18030-2005, the glyphs at some code positions and/or the corresponding GB/TI 13000 code positions have been <v> adjusted in this document (see Appendix </v> D).", adjusted in this document (see Appendix ,no-error,no-error,gp,Chinese,English
329,随机附带的食谱全英文，看得挺累，网上也没找到中文版，这是个麻烦事！,"The recipes that come with it are all in English, which can be a nuisance to understand, and there isn't a Chinese translation online, so that's another inconvenience!","The accompanying recipes <v> are all in English, which is </v> quite tiring to read, and I can't find a Chinese version on the Internet, which is a hassle!"," are all in English, which is ",no-error,no-error,gp,Chinese,English
330,文莱大学于2013年7月正式与越南FPT大学建立合作关系，主要合作领域是英语培训。,"IThe University of Brunei officially established a partnership with FPT University in Vietnam in July 2013, with the main area of cooperation being English language training.","In July 2013, the University of Brunei officially established a partnership with <v> FPT University in Vietnam, with the </v> main area of cooperation being English language training."," FPT University in Vietnam, with the ",no-error,no-error,gp,Chinese,English
331,这是我网购这么久以来，看到最差的一次包装运输，完全没有什么保护措施，缓冲泡沫，包裹缓冲层材料等，什么都没有。,"Since I've been doing a lot of internet shopping, this is the worst wrapping and shipping I've ever encountered, there are absolutely no protective measures, such as cushioning foam, wrapping materials, or cushioning layer materials, etc, nothing at all.","It was the worst package <v> shipment I've seen in a long </v> time, with no protection at all, no cushioning foam, no parcels of cushioning material, nothing.", shipment I've seen in a long ,no-error,no-error,gp,Chinese,English
332,如果一定要买，换个鞋垫也能解决，但是原配鞋垫看起来很高级的样子，不用又可惜。,"You can change the insole if you have to buy it, but the original insole looks really high-end, so it's a shame not to use it.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","If you have to buy it, you can change the insole, but the original insole looks very high-end, so <v> it's a pity not to use </v> it.‏‏", it's a pity not to use ,no-error,no-error,gp,Chinese,English
333,本文件按照GB/T 1.1 一202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,"The rules in GB/T 1.1-202 are the establishment for this record, rules for Long-Term Standardization Work Segment II: Guidelines Record Structure and Composing Rules.",This document is drafted in <v> accordance with the provisions of GB/T </v> 1.1-202 Standardization Work Guidelines Part I: Structure and Drafting Rules of Standardization Documents., accordance with the provisions of GB/T ,no-error,no-error,gp,Chinese,English
334,在北美，芬太尼等合成类阿片的使用导致了20年来类阿片过量致死人数增加。,A rise in opioid overdose mortality of 20 years has been attributed to the use of synthetic opioids like fentanyl in North America.,"In North America, the use of synthetic opioids, <v> such as fentanyl, has led to </v> an increase in opioid overdose deaths over the past 20 years."," such as fentanyl, has led to ",no-error,no-error,gp,Chinese,English
335,”——这个被困废墟之下129小时的少年在被带回到地面上之后问营救自己的搜救员。,"""—The teenager who was trapped under the rubble for 129 hours asked the rescuers who rescued him after being brought back to the surface.",”--The teenager who was <v> trapped under the ruins for 129 </v> hours asked the rescuers who rescued him after being brought back to the ground., trapped under the ruins for 129 ,no-error,no-error,gp,Chinese,English
336,2. 有强烈的异味充电时候，哪怕仅仅充电10分钟，就可以闻到强烈的塑胶燃烧的那种味道。,"2. There is a powerful smell, even after only 10 minutes of charging, you can smell the pungent odor of burning plastic.","There is a strong unpleasant smell when charging, even if it's only for 10 minutes, <v> you can smell the strong scent </v> of burning plastic.", you can smell the strong scent ,no-error,no-error,gp,Chinese,English
337,喜欢它轻便，开口大，就是两个独立的分隔袋对我来说有点多余，感觉不知道装什么好。,"I like how light it is, and how spacious the entrance is, but two distinct compartments are a bit unnecessary for me, and I'm not sure what to put into it.","I like its lightness and large opening, but the two separate compartments seem a bit redundant to me, as <v> I'm not sure what to put </v> in them.", I'm not sure what to put ,no-error,no-error,gp,Chinese,English
338,截至目前，共营救4名被困人员，搜寻出5名遇难者，对25栋倒塌严重的建筑进行生命迹象和风险评估。,"So far, four trapped people have been rescued, five victims have been searched for, and vital signs and risk assessments have been conducted on 25 buildings that collapsed severely.","So far, four trapped individuals have been rescued, five victims have <v> been found, and life signs and </v> risk assessments have been conducted on 25 severely collapsed buildings."," been found, and life signs and ",no-error,no-error,gp,Chinese,English
339,中国坚定不移扩大对外开放的同时，经济发展的内生动力不断增强，国有企业和民营企业协同发展。,"Indeed as China proceeds to broaden its opening to the exterior world, the inner control that drives financial development has been consistently fortified, and both state-owned and private businesses have developed together.","While China <v> is unswervingly expanding its opening-up, the </v> endogenous driving force of economic development is increasing, and state-owned enterprises and private enterprises are developing in tandem."," is unswervingly expanding its opening-up, the ",no-error,no-error,gp,Chinese,English
340,因为顶部有两个部件，前面是控制面板，后面水盒顶盖。,"Since the top is divided into two halves, the control panel is on the front and the top cover for the water tank is on the back.","This is because there are two components at the top, the control panel at the front and <v> the water box top at the </v> back.", the water box top at the ,no-error,no-error,gp,Chinese,English
341,"在2014年确定的新型精神活性物质种类总数中，类阿片新型精神活性物质仅占2%,但到2018年，这一数字己上升至9%。","In 2014, opioid NPS made up fair 2% of all NPS found; by 2018, this extent had expanded to 9%.","Opioid <v> NPS accounted for only 2% of </v> the total number of NPS identified in 2014, but by 2018 this figure had risen to 9%.", NPS accounted for only 2% of ,no-error,no-error,gp,Chinese,English
342,看整部书花了我高二许多学习时间，可是就是停不下来。,"I read the entire book in my second year of high school, which required a lot of study time, but I couldn't put it down.","Reading the entire book took up a lot of my study time in my second year of <v> high school, but I just couldn't </v> stop."," high school, but I just couldn't ",no-error,no-error,gp,Chinese,English
343,这耳机是真垃圾，我不知道是我的耳朵出问题了，还是这个耳机确实不如从前了。,"This headset is absolutely terrible, I'm not sure if my ears are off or if it's just that it's not as excellent as it once was.",This headset is really rubbish. I don't know if it's something wrong with my ears or if this <v> headset really isn't as good as </v> before., headset really isn't as good as ,no-error,no-error,gp,Chinese,English
344,我们认为，在不经过衰退的情况下美国就业市场的供需紧张难以改善。,We believe that the tight supply and demand in the US job market will hardly improve without going through a recession.,We believe that it is difficult to improve the <v> tension between supply and demand in </v> the US job market without going through a recession., tension between supply and demand in ,no-error,no-error,gp,Chinese,English
345,2023年底前，10G PON端口占比达到100%，全光工业园区(产业园区)数量超过100家。,"The rate of 10G PON ports will be 100% by the conclusion of 2023, and there will be more than 100 mechanical parks that are totally optical.","By <v> the end of 2023, the proportion </v> of 10G PON ports will reach 100%, and the number of all-optical industrial parks (industrial zones) will exceed 100."," the end of 2023, the proportion ",no-error,no-error,gp,Chinese,English
346,种植牙齿指的是一种以植入骨组织内的下部结构为基础来支持、固位上部牙修复体的缺牙修复方式。,An upper tooth substitution employing a dental embed is upheld and held by an fundamental component that's surgically embedded in bone tissue.,Dental implantation refers to a method of tooth restoration that uses an underlying structure implanted in <v> the bone tissue to support and </v> stabilize the upper dental prosthesis., the bone tissue to support and ,no-error,no-error,gp,Chinese,English
347,专家分析认为，台湾经济开年表现欠佳，增长压力不小。,"Agreeing to master examination, Taiwan's economy performed ineffectively at the starting of the year, and the development weight isn't little.","Experts have analysed that the Taiwanese economy's performance at the start of the year <v> was not good, and there is </v> significant pressure for growth."," was not good, and there is ",no-error,no-error,gp,Chinese,English
348,作者在本书中阐述了五种赞赏的语言：肯定的言辞、精心时刻、服务的行为、称心的礼物、身体接触。,"The author of this book explains the five languages of appreciation: physical touch, words of affirmation, acts of service, quality time, and desirable gifts.","In this book, the author describes the five languages of appreciation: words of <v> affirmation, thoughtful moments, acts of service, </v> gratifying gifts, and physical touch."," affirmation, thoughtful moments, acts of service, ",no-error,no-error,gp,Chinese,English
349,性价比：国内一般价格在220-300之间，海外购到手180多（用时1周左右）。,"Value for money: While it costs, on average, between 220 and 300 in China, it may be acquired for more than 180 abroad (with about 1 week).‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Cost-effectiveness: The general price in China is between 220-300, while overseas purchases <v> can be obtained for just over </v> 180 (delivery time is about a week).‏", can be obtained for just over ,no-error,no-error,gp,Chinese,English
350,"符合相应实现级别的系统软件产品,应提供相应实现级别范围内全部字符的输入输出功能。",All characters inside the comparing usage level must have input and yield capacities in framework program items that meet the comparing usage level.,System software products that meet the corresponding implementation level should provide input and output functions <v> for all characters within the scope </v> of the corresponding implementation level., for all characters within the scope ,no-error,no-error,gp,Chinese,English
351,"总之,这本书作为理论入门是个不错的选择,但对于已经从事销售工作想要提高销售水平的人就不太适用了。","In essence, while this book is a fantastic introduction to theory, it is not appropriate for individuals who are currently in sales and want to enhance their sales level.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Anyway, this book is a good introduction to the theory, <v> but not very suitable for people </v> already in sales work who are looking to improve their sales.‏‏‏‏‏‏", but not very suitable for people ,no-error,no-error,gp,Chinese,English
352,虽然我特别生气，但是由于电脑急需要，所以也就没跟卖家多说，只要立刻发给我就好。,"Despite my intense rage, I didn't say much to the seller and simply asked for them to deliver the computer over right away because I needed it so badly.","Although I was very angry, I did not tell the seller much because the computer was <v> in urgent need, just send it </v> to me immediately."," in urgent need, just send it ",no-error,no-error,gp,Chinese,English
353,在北美，芬太尼有的用作海洛因和其他毒品（包括可卡因和甲基苯丙胺）的掺杂剂，有的用来制造假冒的药用类阿片。,Fentanyl is utilized in North America to create fake pharmaceutical painkillers or as a doping specialist for heroin and other substances like cocaine and methamphetamine.,"In North America, fentanyl is <v> used either as an adulterant in </v> heroin and other drugs, including cocaine and methamphetamine, or in the manufacture of counterfeit pharmaceutical opioids.", used either as an adulterant in ,no-error,no-error,gp,Chinese,English
354,过了将近半个月，东西被原封原样的寄了回来，连快递盒子都是我寄过去时用的那个！,"The items were sent back undamaged after almost half a month, even the express box I used to send them over was there!","Almost half a month later, <v> the items were returned exactly as </v> they were sent, even the courier box was the one I used to send them!", the items were returned exactly as ,no-error,no-error,gp,Chinese,English
355,作为“古地图集”这样的标题，本书在图片的选择、排版、印刷上实在令人难以接受，有些图片甚至有马赛克，模糊到无法辨识。,"The photo selection, formatting, and printing in this book are truly awful given the title ""Ancient Atlas"", Some images even contain mosaics, but they are so blurry that it is impossible to tell what they are.","For a book titled ""Ancient Map Collection"", the choice, layout, <v> and printing of the images are simply </v> unacceptable, with some images even pixelated to the point of being unrecognizable.", and printing of the images are simply ,no-error,no-error,gp,Chinese,English
356,走访文莱大学时，越南政府总理范明政和夫人同越南语班的学生进行了交流。,"During the visit to the University of Brunei Darussalam, Prime Minister Phan Minh Chinh and his spouse engaged in conversations with students from the Vietnamese language class, fostering a meaningful exchange of ideas.","During a visit to the University of Brunei, the Prime Minister of <v> the Vietnamese Government, Fan Mingzheng, and his </v> wife had an exchange with the students of the Vietnamese language class."," the Vietnamese Government, Fan Mingzheng, and his ",no-error,no-error,gp,Chinese,English
357,央视网消息：种植牙是很多缺牙患者的理想选择，但一直以来，动辄上万元一颗的价格让很多患者望而却步。,"CCTV news: For numerous patients who are lost teeth, dental inserts are the most excellent alternative, however, for an awfully long time, the taken a toll of tens of thousands of dollars per embed has hindered numerous individuals.","According to CCTV News: Dental implants are the ideal choice for many patients with missing teeth, but the cost, <v> often tens of thousands per tooth, has </v> deterred many."," often tens of thousands per tooth, has ",no-error,no-error,gp,Chinese,English
358,周六(2月11日)，法国工会再次发起反对政府退休金改革草案全国动员，呼吁民众走上街头，表达意见。,"On Saturday, February 11, the French labor unions launched another nationwide mobilization against the government's retirement pension reform draft, calling on the public to take to the streets and express their opinions.","On Saturday (February 11), French trade unions once again launched a <v> national mobilization against the government's pension reform </v> draft, calling on people to take to the streets to express their opinions.", national mobilization against the government's pension reform ,no-error,no-error,gp,Chinese,English
359,现任和前任安全官员表示，上述气球事件突显了中国构成的国家安全威胁，并将为加强美国技术保护争取更多政治支持。,"Current and former security officials have stated that the aforementioned balloon incident highlights the national security threat posed by China, and they will seek more political support to strengthen technology protection in the United States.",Current and former security officials said the balloon incident highlighted the national security threat posed by China and would <v> garner more political support for stronger U.S. </v> technology protections., garner more political support for stronger U.S. ,no-error,no-error,gp,Chinese,English
360,最后当我触碰到耳机线的时候，感觉特别柔韧，质量太好了，迫不及待插到手机上打开qq音乐。,"The headphone cable was incredibly flexible and of such high quality that when I finally touched it, I couldn't wait to connect it to my phone and launch QQ Music.","<v> Finally, when I touched the headphone cord, </v> it felt particularly flexible and of high quality. I couldn't wait to plug it into my phone and open QQ Music."," Finally, when I touched the headphone cord, ",no-error,no-error,gp,Chinese,English
361,作为纪念革命周年大赦的一部分，伊朗当局于周五释放了绝食抗议的被监禁的持不同政见者法哈德·梅萨米和伊朗-法国学者法里巴·阿德尔哈。,Iranian authorities on Friday released imprisoned dissident Farhad Mesami and Iranian-French scholar Fariba Adelha on hunger strike as part of an amnesty to mark the anniversary of the revolution.,"As part of <v> an amnesty marking the anniversary of the </v> revolution, Iranian authorities released jailed dissidents Farhad Mesami and Iranian-French scholar Fariba Adelha on Friday, who were on hunger strike.", an amnesty marking the anniversary of the ,no-error,no-error,gp,Chinese,English
