id,source,reference,target,error_span,category,severity,source_lang,target_lang
260,阅读这本书时你脑海里可能回想起你身旁吵架的夫妻，认识的人的索然无味的婚姻，以及不如意的感情。,"While you read this book, images of the quarreling couples around you, the uninteresting marriages of individuals you know, and the unsatisfying relationships can be running through your head.","When you read the book, you may think of a couple quarreling next to you, <v>an awkward marriage with someone</v> you know, and an unhappy feeling.",an awkward marriage with someone,Accuracy/Mistranslation,Major,Chinese,English
261,阅读这本书时你脑海里可能回想起你身旁吵架的夫妻，认识的人的索然无味的婚姻，以及不如意的感情。,"While you read this book, images of the quarreling couples around you, the uninteresting marriages of individuals you know, and the unsatisfying relationships can be running through your head.","When you read the book, you may think of a couple quarreling next to you, an awkward marriage with someone you know, and an <v>unhappy feeling</v>.",unhappy feeling,Accuracy/Mistranslation,Major,Chinese,English
262,这正是我不推荐阅读的原因，从审美的角度上讲，本书的文笔和情节都索然无味，除非你的生活惊涛骇浪或者甜蜜得如生活在糖果城堡，否则你得阅读时的感觉就是见怪不怪和无聊。,"Since the writing and plot of this book are dull from an artistic standpoint, I do not advocate reading it, unless your life is difficult or sweet, like living in a candy castle, you will feel uncomfortable when you are forced to read it, not strange and dull.","That's why I don't recommend reading it, and from an aesthetic point of view, the writing and the plot are boring, and unless your life is stormy or sweet enough <v>to live in</v> a candy castle, you have to read it as if you were bored. """,to live in,Accuracy/Mistranslation,Major,Chinese,English
263,这正是我不推荐阅读的原因，从审美的角度上讲，本书的文笔和情节都索然无味，除非你的生活惊涛骇浪或者甜蜜得如生活在糖果城堡，否则你得阅读时的感觉就是见怪不怪和无聊。,"Since the writing and plot of this book are dull from an artistic standpoint, I do not advocate reading it, unless your life is difficult or sweet, like living in a candy castle, you will feel uncomfortable when you are forced to read it, not strange and dull.","That's why I don't recommend reading it, and from an aesthetic point of view, the writing and the plot are boring, and unless your life is stormy or sweet enough to live in a candy castle, you have to read it <v>as if you were bored</v>. """,as if you were bored,Accuracy/Mistranslation,Major,Chinese,English
264,质量超级差，包装松垮，没有分量，甚至不如路边地摊产品，没有克重，没有条码，十袋包装也是松松垮垮，完全不是合格产品的特征；是亚马逊最糟糕的购物体验，已经申请退货；完全属于质量问题；建议商家擦亮眼睛，拒绝劣质货；补充：又买了心相印，超市23元/10卷，加了几张对比照片，进一步验证了该产品的伪劣，为了给消费者更明确的参考，避免经济损失和进一步的心情不快！,"The quality is extremely poor, the packaging is loose, there is no weight, it is not even as good as street stall products, there is no weight, there is no barcode, and the ten-bag packaging is also loose, which is not a characteristic of qualified products at all; it is the worst shopping experience I have ever had on Amazon, and I have requested a return, it is entirely a quality issue; traders should retain an open mind and shun substandard goods, supplement: I purchased a heart-to-heart, 23 yuan/10 roll from a supermarket and attached a few comparison photographs to confirm the product's authenticity, clearer references to avoid financial loss and more dissatisfaction!","Super poor quality, loose packaging, no weight, even worse than roadside stalls, no weight, no bar code, <v>ten bags of packaging</v> is also loose, completely not the characteristics of qualified products; Amazon's worst shopping experience, has applied for a return; is a matter of quality; advises merchants to polish their eyes and refuse inferior goods; Supplement: bought another heart print, supermarket 23 yuan / 10 rolls, added a few comparative photos to further verify the falsity of the product, in order to give consumers a clearer reference, to avoid economic loss and further discomfort!",ten bags of packaging,Accuracy/Mistranslation,Major,Chinese,English
265,质量超级差，包装松垮，没有分量，甚至不如路边地摊产品，没有克重，没有条码，十袋包装也是松松垮垮，完全不是合格产品的特征；是亚马逊最糟糕的购物体验，已经申请退货；完全属于质量问题；建议商家擦亮眼睛，拒绝劣质货；补充：又买了心相印，超市23元/10卷，加了几张对比照片，进一步验证了该产品的伪劣，为了给消费者更明确的参考，避免经济损失和进一步的心情不快！,"The quality is extremely poor, the packaging is loose, there is no weight, it is not even as good as street stall products, there is no weight, there is no barcode, and the ten-bag packaging is also loose, which is not a characteristic of qualified products at all; it is the worst shopping experience I have ever had on Amazon, and I have requested a return, it is entirely a quality issue; traders should retain an open mind and shun substandard goods, supplement: I purchased a heart-to-heart, 23 yuan/10 roll from a supermarket and attached a few comparison photographs to confirm the product's authenticity, clearer references to avoid financial loss and more dissatisfaction!","Super poor quality, loose packaging, no weight, even worse than roadside stalls, no weight, no bar code, ten bags of packaging is also loose, completely not the characteristics of qualified products; Amazon's worst shopping experience, has applied for a return; is a matter of quality; advises merchants to polish their eyes and refuse inferior goods; Supplement: bought another <v>heart print</v>, supermarket 23 yuan / 10 rolls, added a few comparative photos to further verify the falsity of the product, in order to give consumers a clearer reference, to avoid economic loss and further discomfort!",heart print,Accuracy/Mistranslation,Major,Chinese,English
266,小孩很不喜欢牙膏的味道，每次都说辣，也许用别的词形容才更贴切，小孩的词库里暂时只有这个词。,"The kid doesn't particularly enjoy the flavor of toothpaste, and always claims it's spicy, perhaps a different word would be more suited to describe it, currently the child's vocabulary consists of just this one word.","The children do not like the taste of toothpaste, and <v>each time it is hot</v>, it may be better described by another word, which is temporarily the only word in the child's vocabulary.",each time it is hot,Accuracy/Mistranslation,Major,Chinese,English
267,小孩很不喜欢牙膏的味道，每次都说辣，也许用别的词形容才更贴切，小孩的词库里暂时只有这个词。,"The kid doesn't particularly enjoy the flavor of toothpaste, and always claims it's spicy, perhaps a different word would be more suited to describe it, currently the child's vocabulary consists of just this one word.","The children do not like the taste of toothpaste, and each time it is hot, it may be better described by another word, <v>which is temporarily the only word in the child's vocabulary</v>.",which is temporarily the only word in the child's vocabulary,Accuracy/Mistranslation,Major,Chinese,English
268,搞活动时候买的，很便宜，所以也不好意思给差评了，四星吧，不过不会再买了。,"I am ashamed of leaving a negative review, maybe four stars, but I won't purchase it again because I purchased it at an event and it was extremely inexpensive.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","<v>It's a good idea to buy four stars</v>, but they're not going to buy any more.",It's a good idea to buy four stars,Accuracy/Mistranslation,Major,Chinese,English
269,搞活动时候买的，很便宜，所以也不好意思给差评了，四星吧，不过不会再买了。,"I am ashamed of leaving a negative review, maybe four stars, but I won't purchase it again because I purchased it at an event and it was extremely inexpensive.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","It's a good idea to buy four stars, but <v>they're</v> not going to buy any more.",they're,Accuracy/Mistranslation,Major,Chinese,English
270,包装很完整，里面加了充气袋，没有网上评论的只有光秃秃一个产品的样子。,"There are no internet reviews, merely a bare product, and the packaging is very thorough, with an air bag inside.","The packaging is complete, with an inflatable bag inside, and <v>there is no online review</v> except for the bare appearance of a product.",there is no online review,Accuracy/Mistranslation,Major,Chinese,English
271,包装很完整，里面加了充气袋，没有网上评论的只有光秃秃一个产品的样子。,"There are no internet reviews, merely a bare product, and the packaging is very thorough, with an air bag inside.","The packaging is complete, with an inflatable bag inside, and there is no online review <v>except for</v> the bare appearance of a product.",except for,Accuracy/Mistranslation,Major,Chinese,English
272,包装很完整，里面加了充气袋，没有网上评论的只有光秃秃一个产品的样子。,"There are no internet reviews, merely a bare product, and the packaging is very thorough, with an air bag inside.","The packaging is complete, with an inflatable bag inside, and there is no online review except for <v>the bare appearance of</v> a product.",the bare appearance of,Accuracy/Mistranslation,Major,Chinese,English
273,虽然名称都是一样的，但还是希望大家能够小心注意，另外还请亚马逊负责人及时更换正确的配图，万分感谢。,"Despite the fact that the names are the same, I still hope that everyone will pay attention, to add, I also request that the Amazon administrator quickly replaces the appropriate image, I appreciate you.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Although the names are the same, I hope that <v>you</v> will be careful and ask Amazon to change the correct layout in time, thank you very much.",you,Accuracy/Mistranslation,Major,Chinese,English
274,虽然名称都是一样的，但还是希望大家能够小心注意，另外还请亚马逊负责人及时更换正确的配图，万分感谢。,"Despite the fact that the names are the same, I still hope that everyone will pay attention, to add, I also request that the Amazon administrator quickly replaces the appropriate image, I appreciate you.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Although the names are the same, I hope that you will be careful and <v>ask</v> Amazon to change the correct layout in time, thank you very much.",ask,Accuracy/Mistranslation,Major,Chinese,English
275,虽然名称都是一样的，但还是希望大家能够小心注意，另外还请亚马逊负责人及时更换正确的配图，万分感谢。,"Despite the fact that the names are the same, I still hope that everyone will pay attention, to add, I also request that the Amazon administrator quickly replaces the appropriate image, I appreciate you.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Although the names are the same, I hope that you will be careful and ask <v>Amazon</v> to change the correct layout in time, thank you very much.",Amazon,Accuracy/Mistranslation,Major,Chinese,English
276,这么便宜的线，但是却应该是达到了hdmi认证标准的，亲身对比秒杀国内秋叶原这些狗屁玩意（价格都是贵一倍了），线身粗壮，也比较柔软，7米传输没有噪点，以后低价线认准倍思了！,"Despite being so inexpensive, the cable should have met the requirements for HDMI certification, the cable body is thick and supple, and the transmission across the 7-meter distance is noise-free when compared to domestic Akihabara rubbish (which costs twice as much), In the future, keep an eye out for Baseus' low price line!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Such a cheap line, but it should meet the hdmi certification standard, personally compare the killing domestic Akihabara these dog-farting toys (the price is twice as expensive), the wire body is thick, soft, 7 meters transmission without noise, later the <v>low</v> line is considered to be double!",low,Accuracy/Mistranslation,Major,Chinese,English
277,这么便宜的线，但是却应该是达到了hdmi认证标准的，亲身对比秒杀国内秋叶原这些狗屁玩意（价格都是贵一倍了），线身粗壮，也比较柔软，7米传输没有噪点，以后低价线认准倍思了！,"Despite being so inexpensive, the cable should have met the requirements for HDMI certification, the cable body is thick and supple, and the transmission across the 7-meter distance is noise-free when compared to domestic Akihabara rubbish (which costs twice as much), In the future, keep an eye out for Baseus' low price line!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Such a cheap line, but it should meet the hdmi certification standard, personally compare the killing domestic Akihabara these dog-farting toys (the price is twice as expensive), the wire body is thick, soft, 7 meters transmission without noise, later the low line <v>is considered to be double</v>!",is considered to be double,Accuracy/Mistranslation,Major,Chinese,English
278,我以前在京东和苏宁都买过政策上不能退货的物品，包括牛奶、纸尿裤等，联系客服都给退了，而且京东的纸尿裤打开后味道太大联系客服照样给退了，到了你亚马逊就不行。,"I have purchased things from Jingdong and Suning, including milk and diapers, that are not returnable in accordance with the rules, when I contacted customer service, they were reimbursed, but Jingdong diapers were excessively pungent after they were opened, the customer support still responded after I called them, when you get to Amazon, you cannot do it.","I had previously bought items in Jingdong and Suning that cannot be returned according to the policy, including milk, diapers, etc., <v>contact customer service has been returned</v>, and Jingdong's diapers have been opened and the taste is too big to contact customer service has been returned, you can not go to Amazon.",contact customer service has been returned,Accuracy/Mistranslation,Major,Chinese,English
279,我以前在京东和苏宁都买过政策上不能退货的物品，包括牛奶、纸尿裤等，联系客服都给退了，而且京东的纸尿裤打开后味道太大联系客服照样给退了，到了你亚马逊就不行。,"I have purchased things from Jingdong and Suning, including milk and diapers, that are not returnable in accordance with the rules, when I contacted customer service, they were reimbursed, but Jingdong diapers were excessively pungent after they were opened, the customer support still responded after I called them, when you get to Amazon, you cannot do it.","I had previously bought items in Jingdong and Suning that cannot be returned according to the policy, including milk, diapers, etc., contact customer service has been returned, and <v>Jingdong's diapers have been opened and the taste is too big to contact customer service has been returned, you can not go to Amazon</v>.","Jingdong's diapers have been opened and the taste is too big to contact customer service has been returned, you can not go to Amazon",Accuracy/Mistranslation,Major,Chinese,English
280,瓶子底部一角凹陷的厉害，应该是经历过强烈的撞击才能导致的，从外包装袋看，感觉蹂躏的程度让人揪心，毕竟是食物类的包装太简单了，而且还是属于国际购的，还有没看到什么明显的防伪标识标志，开瓶非常轻松，关键是盖内的一层蜂蜜直接从里面冒出来了，有开口几乎是没有什么粘连性，外国产品都是这样的吗？,"The bottle's bottom corner is substantially dented, which should be the result of a powerful hit, from the outer packaging bag, it is alarming to see the extent of the damage, after all, despite the food's overly basic packaging, it is nevertheless sold abroad, have you noticed any blatant counterfeit prevention signs? The bottle is really simple to open, the crucial feature is that the honey layer in the top spills out right away, when there is an opening, adhesion is essentially nonexistent, are all imported goods the same?","The depression at the bottom of the bottle should have been caused by a strong impact, and the degree of devastation felt in the <v>overpack</v> is heartening, after all, the packaging of the food is too simple, it is international, there is no visible anti-counterfeiting sign, the bottle is easy to open, the key is that a layer of honey in the lid comes out directly from the inside, the opening is almost not sticky, is it the same for foreign products?",overpack,Accuracy/Mistranslation,Major,Chinese,English
281,瓶子底部一角凹陷的厉害，应该是经历过强烈的撞击才能导致的，从外包装袋看，感觉蹂躏的程度让人揪心，毕竟是食物类的包装太简单了，而且还是属于国际购的，还有没看到什么明显的防伪标识标志，开瓶非常轻松，关键是盖内的一层蜂蜜直接从里面冒出来了，有开口几乎是没有什么粘连性，外国产品都是这样的吗？,"The bottle's bottom corner is substantially dented, which should be the result of a powerful hit, from the outer packaging bag, it is alarming to see the extent of the damage, after all, despite the food's overly basic packaging, it is nevertheless sold abroad, have you noticed any blatant counterfeit prevention signs? The bottle is really simple to open, the crucial feature is that the honey layer in the top spills out right away, when there is an opening, adhesion is essentially nonexistent, are all imported goods the same?","The depression at the bottom of the bottle should have been caused by a strong impact, and the degree of devastation felt in the overpack is <v>heartening</v>, after all, the packaging of the food is too simple, it is international, there is no visible anti-counterfeiting sign, the bottle is easy to open, the key is that a layer of honey in the lid comes out directly from the inside, the opening is almost not sticky, is it the same for foreign products?",heartening,Accuracy/Mistranslation,Major,Chinese,English
282,瓶子底部一角凹陷的厉害，应该是经历过强烈的撞击才能导致的，从外包装袋看，感觉蹂躏的程度让人揪心，毕竟是食物类的包装太简单了，而且还是属于国际购的，还有没看到什么明显的防伪标识标志，开瓶非常轻松，关键是盖内的一层蜂蜜直接从里面冒出来了，有开口几乎是没有什么粘连性，外国产品都是这样的吗？,"The bottle's bottom corner is substantially dented, which should be the result of a powerful hit, from the outer packaging bag, it is alarming to see the extent of the damage, after all, despite the food's overly basic packaging, it is nevertheless sold abroad, have you noticed any blatant counterfeit prevention signs? The bottle is really simple to open, the crucial feature is that the honey layer in the top spills out right away, when there is an opening, adhesion is essentially nonexistent, are all imported goods the same?","The depression at the bottom of the bottle should have been caused by a strong impact, and the degree of devastation felt in the overpack is heartening, after all, the packaging of the food is too simple, it <v>is international</v>, there is no visible anti-counterfeiting sign, the bottle is easy to open, the key is that a layer of honey in the lid comes out directly from the inside, the opening is almost not sticky, is it the same for foreign products?",is international,Accuracy/Mistranslation,Major,Chinese,English
283,瓶子底部一角凹陷的厉害，应该是经历过强烈的撞击才能导致的，从外包装袋看，感觉蹂躏的程度让人揪心，毕竟是食物类的包装太简单了，而且还是属于国际购的，还有没看到什么明显的防伪标识标志，开瓶非常轻松，关键是盖内的一层蜂蜜直接从里面冒出来了，有开口几乎是没有什么粘连性，外国产品都是这样的吗？,"The bottle's bottom corner is substantially dented, which should be the result of a powerful hit, from the outer packaging bag, it is alarming to see the extent of the damage, after all, despite the food's overly basic packaging, it is nevertheless sold abroad, have you noticed any blatant counterfeit prevention signs? The bottle is really simple to open, the crucial feature is that the honey layer in the top spills out right away, when there is an opening, adhesion is essentially nonexistent, are all imported goods the same?","The depression at the bottom of the bottle should have been caused by a strong impact, and the degree of devastation felt in the overpack is heartening, after all, the packaging of the food is too simple, it is international, there is no visible anti-counterfeiting sign, the bottle is easy to open, the key is that a layer of honey <v>in the lid</v> comes out directly from the inside, the opening is almost not sticky, is it the same for foreign products?",in the lid,Accuracy/Mistranslation,Major,Chinese,English
284,瓶子底部一角凹陷的厉害，应该是经历过强烈的撞击才能导致的，从外包装袋看，感觉蹂躏的程度让人揪心，毕竟是食物类的包装太简单了，而且还是属于国际购的，还有没看到什么明显的防伪标识标志，开瓶非常轻松，关键是盖内的一层蜂蜜直接从里面冒出来了，有开口几乎是没有什么粘连性，外国产品都是这样的吗？,"The bottle's bottom corner is substantially dented, which should be the result of a powerful hit, from the outer packaging bag, it is alarming to see the extent of the damage, after all, despite the food's overly basic packaging, it is nevertheless sold abroad, have you noticed any blatant counterfeit prevention signs? The bottle is really simple to open, the crucial feature is that the honey layer in the top spills out right away, when there is an opening, adhesion is essentially nonexistent, are all imported goods the same?","The depression at the bottom of the bottle should have been caused by a strong impact, and the degree of devastation felt in the overpack is heartening, after all, the packaging of the food is too simple, it is international, there is no visible anti-counterfeiting sign, the bottle is easy to open, the key is that a layer of honey in the lid comes out directly from the inside, <v>the opening</v> is almost not sticky, is it the same for foreign products?",the opening,Accuracy/Mistranslation,Major,Chinese,English
285,3，物流是硬伤，3号下的单，11号到的。,"3, The logistics are inefficient, the order was placed on March 3 and was delivered on April 11.","3, logistics is <v>hard</v>, 3 under the single, 11 to arrive.",hard,Accuracy/Mistranslation,Major,Chinese,English
286,3，物流是硬伤，3号下的单，11号到的。,"3, The logistics are inefficient, the order was placed on March 3 and was delivered on April 11.","3, logistics is hard, <v>3 under the single</v>, 11 to arrive.",3 under the single,Accuracy/Mistranslation,Major,Chinese,English
287,这种方形的，也没啥装饰效果，就不要搞金线上去，掉下来在车上弄脏车还麻烦。,Do not attach gold wires to this type of square form because they have no decorative impact and could cause problems if they came off and stained the car.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,"<v>It is not uncommon for a car to</v> fall off the ground and fall onto the ground, causing damage to the car.",It is not uncommon for a car to,Accuracy/Mistranslation,Major,Chinese,English
288,这种方形的，也没啥装饰效果，就不要搞金线上去，掉下来在车上弄脏车还麻烦。,Do not attach gold wires to this type of square form because they have no decorative impact and could cause problems if they came off and stained the car.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,"It is not uncommon for a car to fall off the ground and fall onto the ground, <v>causing damage to</v> the car.",causing damage to,Accuracy/Mistranslation,Major,Chinese,English
289,34CM的床垫不是一般的厚，不要床直接睡床垫都可以了。,"Since the mattress is only 34CM thick, you can sleep on it alone without a bed.","A 34CM mattress <v>is not usually thick</v>, so it is not necessary to place the bed directly on the mattress.",is not usually thick,Accuracy/Mistranslation,Major,Chinese,English
290,34CM的床垫不是一般的厚，不要床直接睡床垫都可以了。,"Since the mattress is only 34CM thick, you can sleep on it alone without a bed.","A 34CM mattress is not usually thick, <v>so it is not necessary to place the bed directly on the mattress</v>.",so it is not necessary to place the bed directly on the mattress,Accuracy/Mistranslation,Major,Chinese,English
291,商品不是亚马逊配送，售后亚马逊不承担，客服竟然说“我帮你联系供应商”，还声称就是自营，太无耻了，赤裸裸的不要脸，赤裸裸的对消费者进行欺诈！,"Amazon does not deliver the item, and it also does not assume liability for the after-sale support, even the customer service stated that it was self-operated and said, ""I will help you contact the supplier"", It is clearly cheating customers and is shameless!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","The product is <v>not Amazon</v>, Amazon does not pay, the customer service says ""I will help you contact the supplier,"" and claims that it is self-employed, too shameless, too naked, too naked to cheat on the consumer!",not Amazon,Accuracy/Mistranslation,Major,Chinese,English
292,商品不是亚马逊配送，售后亚马逊不承担，客服竟然说“我帮你联系供应商”，还声称就是自营，太无耻了，赤裸裸的不要脸，赤裸裸的对消费者进行欺诈！,"Amazon does not deliver the item, and it also does not assume liability for the after-sale support, even the customer service stated that it was self-operated and said, ""I will help you contact the supplier"", It is clearly cheating customers and is shameless!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","The product is not Amazon, Amazon <v>does not pay</v>, the customer service says ""I will help you contact the supplier,"" and claims that it is self-employed, too shameless, too naked, too naked to cheat on the consumer!",does not pay,Accuracy/Mistranslation,Major,Chinese,English
293,商品不是亚马逊配送，售后亚马逊不承担，客服竟然说“我帮你联系供应商”，还声称就是自营，太无耻了，赤裸裸的不要脸，赤裸裸的对消费者进行欺诈！,"Amazon does not deliver the item, and it also does not assume liability for the after-sale support, even the customer service stated that it was self-operated and said, ""I will help you contact the supplier"", It is clearly cheating customers and is shameless!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","The product is not Amazon, Amazon does not pay, the customer service says ""I will help you contact the supplier,"" and claims that it is <v>self-employed</v>, too shameless, too naked, too naked to cheat on the consumer!",self-employed,Accuracy/Mistranslation,Major,Chinese,English
294,商品不是亚马逊配送，售后亚马逊不承担，客服竟然说“我帮你联系供应商”，还声称就是自营，太无耻了，赤裸裸的不要脸，赤裸裸的对消费者进行欺诈！,"Amazon does not deliver the item, and it also does not assume liability for the after-sale support, even the customer service stated that it was self-operated and said, ""I will help you contact the supplier"", It is clearly cheating customers and is shameless!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","The product is not Amazon, Amazon does not pay, the customer service says ""I will help you contact the supplier,"" and claims that it is self-employed, too shameless, <v>too naked</v>, too naked to cheat on the consumer!",too naked,Accuracy/Mistranslation,Major,Chinese,English
295,商品不是亚马逊配送，售后亚马逊不承担，客服竟然说“我帮你联系供应商”，还声称就是自营，太无耻了，赤裸裸的不要脸，赤裸裸的对消费者进行欺诈！,"Amazon does not deliver the item, and it also does not assume liability for the after-sale support, even the customer service stated that it was self-operated and said, ""I will help you contact the supplier"", It is clearly cheating customers and is shameless!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","The product is not Amazon, Amazon does not pay, the customer service says ""I will help you contact the supplier,"" and claims that it is self-employed, too shameless, too naked, <v>too naked to</v> cheat on the consumer!",too naked to,Accuracy/Mistranslation,Major,Chinese,English
296,第一次购买滤水壶，看了几篇评价文章，感觉LAICA的性价比高些就选择了这个，收到货按说明书装好了滤芯，试用了一下，感觉总体不错，但是在倒水的时候好像原水会从壶嘴的地方与处理后的水混合（原水仓密封不太严）。,"This is the first water filtration jug I've ever purchased, after reading a few evaluation articles, I decided that LAICA was the most economical option, I installed the filter element after receiving the product and doing so in accordance with the directions, the treated water and raw water will be combined when released from the spout (the raw water tank is not completely sealed).","The first time I bought a water filter, I read a few review articles, I felt that <v>the cost of LAICA was higher than this</v>, I received the goods according to the instructions, I loaded the filter, I tried it, I felt good, but when I poured water, it seemed that the raw water would be mixed with the treated water from the spout (the original water tank sealing is not too strict).",the cost of LAICA was higher than this,Accuracy/Mistranslation,Major,Chinese,English
297,第一次购买滤水壶，看了几篇评价文章，感觉LAICA的性价比高些就选择了这个，收到货按说明书装好了滤芯，试用了一下，感觉总体不错，但是在倒水的时候好像原水会从壶嘴的地方与处理后的水混合（原水仓密封不太严）。,"This is the first water filtration jug I've ever purchased, after reading a few evaluation articles, I decided that LAICA was the most economical option, I installed the filter element after receiving the product and doing so in accordance with the directions, the treated water and raw water will be combined when released from the spout (the raw water tank is not completely sealed).","The first time I bought a water filter, I read a few review articles, I felt that the cost of LAICA was higher than this, I <v>received the goods according to the instructions</v>, I loaded the filter, I tried it, I felt good, but when I poured water, it seemed that the raw water would be mixed with the treated water from the spout (the original water tank sealing is not too strict).",received the goods according to the instructions,Accuracy/Mistranslation,Major,Chinese,English
298,第一次购买滤水壶，看了几篇评价文章，感觉LAICA的性价比高些就选择了这个，收到货按说明书装好了滤芯，试用了一下，感觉总体不错，但是在倒水的时候好像原水会从壶嘴的地方与处理后的水混合（原水仓密封不太严）。,"This is the first water filtration jug I've ever purchased, after reading a few evaluation articles, I decided that LAICA was the most economical option, I installed the filter element after receiving the product and doing so in accordance with the directions, the treated water and raw water will be combined when released from the spout (the raw water tank is not completely sealed).","The first time I bought a water filter, I read a few review articles, I felt that the cost of LAICA was higher than this, I received the goods according to the instructions, I loaded the filter, I tried it, I felt good, but when I poured water, it seemed that the raw water would be mixed with the treated water from the spout (the original water tank sealing is not too <v>strict</v>).",strict,Accuracy/Mistranslation,Major,Chinese,English
299,两天前下的订单，今天收到就发现降了40块钱，花了好多时间找到客服，客服说没法补差价，可以重买并退货。,"I ordered something two days ago, and when I got it today, the price had been dropped by 40 yuan, It took me a while to locate customer support, but once I did, they told me that since I couldn't make up the difference, I could repurchase the item and return it.","The order was <v>received</v> two days ago and found to have dropped $40 today, and it took a lot of time to find the customer service, who said that they could not make up the difference and could buy it again and return it.",received,Accuracy/Mistranslation,Major,Chinese,English
300,两天前下的订单，今天收到就发现降了40块钱，花了好多时间找到客服，客服说没法补差价，可以重买并退货。,"I ordered something two days ago, and when I got it today, the price had been dropped by 40 yuan, It took me a while to locate customer support, but once I did, they told me that since I couldn't make up the difference, I could repurchase the item and return it.","The order was received two days ago and found to have dropped <v>$40</v> today, and it took a lot of time to find the customer service, who said that they could not make up the difference and could buy it again and return it.",$40,Accuracy/Mistranslation,Major,Chinese,English
301,两天前下的订单，今天收到就发现降了40块钱，花了好多时间找到客服，客服说没法补差价，可以重买并退货。,"I ordered something two days ago, and when I got it today, the price had been dropped by 40 yuan, It took me a while to locate customer support, but once I did, they told me that since I couldn't make up the difference, I could repurchase the item and return it.","The order was received two days ago and found to have dropped $40 today, and it took a lot of time to find the customer service, who said that they could not make up the <v>difference</v> and could buy it again and return it.",difference,Accuracy/Mistranslation,Major,Chinese,English
302,两天前下的订单，今天收到就发现降了40块钱，花了好多时间找到客服，客服说没法补差价，可以重买并退货。,"I ordered something two days ago, and when I got it today, the price had been dropped by 40 yuan, It took me a while to locate customer support, but once I did, they told me that since I couldn't make up the difference, I could repurchase the item and return it.","The order was received two days ago and found to have dropped $40 today, and it took a lot of time to find the customer service, who said that they could not make up the difference and could buy it again and return <v>it</v>.",it,Accuracy/Mistranslation,Major,Chinese,English
303,品相过得去，和极品金刚没得比，之前看过商场那个价格，少说都好几百，我是第一次玩金刚，还行。,"While not on par with the best King Kong, the quality is respectable, I've seen the pricing in the mall before; it's at least several hundred, King Kong is my first game, and I like it.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","<v>It was the first time I had ever played in a major league</v>, and it was the first time I had ever played in a major league, and it was the first time I had played in a major league.",It was the first time I had ever played in a major league,Accuracy/Mistranslation,Major,Chinese,English
304,品相过得去，和极品金刚没得比，之前看过商场那个价格，少说都好几百，我是第一次玩金刚，还行。,"While not on par with the best King Kong, the quality is respectable, I've seen the pricing in the mall before; it's at least several hundred, King Kong is my first game, and I like it.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","It was the first time I had ever played in a major league, and <v>it was the first time I had ever played in a major league</v>, and it was the first time I had played in a major league.",it was the first time I had ever played in a major league,Accuracy/Mistranslation,Major,Chinese,English
305,品相过得去，和极品金刚没得比，之前看过商场那个价格，少说都好几百，我是第一次玩金刚，还行。,"While not on par with the best King Kong, the quality is respectable, I've seen the pricing in the mall before; it's at least several hundred, King Kong is my first game, and I like it.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","It was the first time I had ever played in a major league, and it was the first time I had ever played in a major league, and <v>it was the first time I had played in a major league</v>.",it was the first time I had played in a major league,Accuracy/Mistranslation,Major,Chinese,English
306,东西着实不错，送女友的，只是中午我不在加拿快递的时候有些不愉快，物流公司直接放邮件寄存宝里并且没发取件的验证短信给我，害我跑了两趟。,"The item is excellent, and I presented it to my girlfriend, However, I was disappointed that I couldn't receive the quick delivery because I wasn't in Canada at noon, I had to run twice since the shipping company dropped the mail right in the treasure and did not send me a text message to confirm that I could pick up the box.","It was really good, I <v>sent</v> it to my girlfriend, but I was a little unhappy when I was not in Canada Express at noon, the logistics company put it in the mail deposit and did not send me the verification text of the pickup, I ran two times.",sent,Accuracy/Mistranslation,Major,Chinese,English
307,东西着实不错，送女友的，只是中午我不在加拿快递的时候有些不愉快，物流公司直接放邮件寄存宝里并且没发取件的验证短信给我，害我跑了两趟。,"The item is excellent, and I presented it to my girlfriend, However, I was disappointed that I couldn't receive the quick delivery because I wasn't in Canada at noon, I had to run twice since the shipping company dropped the mail right in the treasure and did not send me a text message to confirm that I could pick up the box.","It was really good, I sent it to my girlfriend, but I was a little unhappy when I was not <v>in Canada</v> Express at noon, the logistics company put it in the mail deposit and did not send me the verification text of the pickup, I ran two times.",in Canada,Accuracy/Mistranslation,Major,Chinese,English
