id,source,reference,target,error_span,category,severity
129,机器确实不错，想问下怎么第一次充电起就充不满啊，充电指示灯一直红色,"The equipment is excellent, why is it not fully charged after the initial charge, and why is the charging indication continually red?‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏",The machine is really good. I would like to ask why it is not fully charged <v>from</v> the first time it is charged. The charging indicator is always red.‏‏‏‏‏‏‏‏‏‏‏‏‏‏,from,grammar,major
130,品相过得去，和极品金刚没得比，之前看过商场那个价格，少说都好几百，我是第一次玩金刚，还行。,"While not on par with the best King Kong, the quality is respectable, I've seen the pricing in the mall before; it's at least several hundred, King Kong is my first game, and I like it.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","The quality is passable, but <v>it can't compare to</v> the top-notch Transformers. I've seen the price in the mall before, it's at least several hundred. This is my first time playing with Transformers, it's okay.‏",it can't compare to,grammar,major
131,作为“古地图集”这样的标题，本书在图片的选择、排版、印刷上实在令人难以接受，有些图片甚至有马赛克，模糊到无法辨识。,"The photo selection, formatting, and printing in this book are truly awful given the title ""Ancient Atlas"", Some images even contain mosaics, but they are so blurry that it is impossible to tell what they are.","<v>As</v> a title such as ""Ancient Atlas"", the selection, layout, and printing of the pictures in this book are unacceptable, and some of the pictures even have mosaics that are blurred beyond recognition.",As,grammar,major
132,吃一堑长一智，以后再也不在电商买水果了！,Never again purchase fruit through online commerce after making this mistake!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,"Eat a dime, and <v>never again buy fruit from an online store</v>!",never again buy fruit from an online store,grammar,major
133,包装没有任何标识，直接给供货商致电说，回答没标识是正品，如怀疑可用边角料邮寄到强生公司验货，还留下车牌号以及电话号码，承诺会发短信通知把我的信息输入强生官网保修卡，到现在也没收到短信啊？,"Since there is no mark on the package, I called the supplier directly to ask about the matter and was told that the good is authentic despite the lack of a mark, If there is any dispute, I may submit it to Johnson & Johnson for review and include the phone number and license plate information, I swear to tell Johnson & Johnson of my information by text message, Why has a text message not yet been sent to the warranty card on the official website?‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Packaging does not have any markings, <v>directly to the supplier called to say</v>, the answer is not marked is genuine, such as doubt can be used scraps mailed to Johnson & Johnson company inspection, but also left the license plate number and phone number, promised to send a text message notice to enter my information into the Johnson & Johnson official website warranty card, so far did not receive a text message ah?‏‏‏",directly to the supplier called to say,grammar,major
134,强烈建议亚马逊停用EMS ！,It is highly advised that Amazon turn off EMS!,Amazon <v>strongly recommends</v> that you stop using EMS!,strongly recommends,grammar,major
135,东德共产党的继任者在该党在一份声明中报告，“昨晚，汉斯·莫德罗(Hans Modrow) 离开了我们，享年95 岁。,"The successor of the East German Communist Party reported in a statement, ""Last night, Hans Modrow left us at the age of 95.""","The party's successor <v>to</v> the East German Communist Party reported in a statement, ""Last night, Hans Modrow left us at the age of 95.",to,grammar,major
136,太小，没伞套，材质一般。,"The material is average, the size is very little, and there is no umbrella cover.","<v>Too small, no umbrella, average material</v>.","Too small, no umbrella, average material",grammar,major
137,金正恩父女互动亲密老婆遭冷落一旁,"Kim Jong-un's father and daughter interact intimately, but his wife is ignored",Kim Jong Un father-daughter interaction intimate <v>wife snubbed aside</v>,wife snubbed aside,grammar,major
138,在生产和服务、质量和品牌、效益和公益等方面保持卓越的追求。,"Always striving for excellence in production and service, brand and quality, benefit, and public welfare.","<v>Maintain</v> excellence in production and service, quality and brand, efficiency and public welfare.",Maintain,grammar,major
139,怀疑是接口处接触不良，不知道现在还能给修吗？,"The interface may not be connected properly, according to speculation, can it be fixed right now, I wonder?‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","<v>Doubt is</v> the interface contact is bad, do not know now can also be repaired?‏‏‏",Doubt is,grammar,major
140,第一次在亚马逊买东西，分别感受有几点，先来说下用完商品的感受吧，第一确实是无痛，也没有刺激味道的东西，总体来说很不错的，静等8分钟左右一擦就掉了，只是会有少量的汗毛渣在上面，不细看是看不出来的，所以说总体是不错的，至于之后都就用一次还要继续观察，继续用才会知道。,"I made my first Amazon purchase with this one, I have some relevant experience, first, let me discuss how it feels to finish a product, the first benefit is that it has no unpleasant taste or sensation, Overall, it's excellent, observe for 8 minutes, overall, it is good because after using it once, you need to continue observing, and you will know if you continue to use it, wipe it left and right and it will come off, but there will be a small amount of hair residue on it, which cannot be seen until you look closely.","The first time I bought something on Amazon, I felt a few points respectively. Let's talk about the feeling of using up the product first. The first thing is really painless and there is no stimulating taste. Generally speaking, it is very good. After waiting for about 8 minutes, it will fall off after wiping it off, but there will be a small amount of hair residue on it. You can't see it without looking at it in detail, so it's generally good. As for using it once after that, you have to continue to observe it. <v>If you continue to use it, you will know that you will know that if you continue to use it</v>.","If you continue to use it, you will know that you will know that if you continue to use it",grammar,major
141,当时购买的时候，活动页面上是说满99元赠送“三体全集”，收到货没有这个赠品，打客服电话说要给他们看当时活动的截图，问题是谁买东西还把网页截图保存啊，你们自己做过的活动，还需要顾客帮你们提供啊，各位买家下次要留个心眼，保存证据。,"The event page stated that after I spent 99 yuan on it, I would give away the ""Complete Works of Three-Body Problem"", I didn't have this present when I got the products, when I called customer service, I promised to present the screenshots of the occurrence at hand, who purchased the items and took the website screenshots is the subject of the query, ah you see, you need consumers to give you the services you have performed for yourself, buyers should be cautious the next time and save the proof.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","At the time of purchase, the event page is said to give a full 99 yuan ""three-body set"", received the goods do not have this gift, call the customer <v>service said to show</v> them the screenshot of the activity at the time, the question is who bought the web screenshot save ah, you yourself have done the activity, but also need customers to help you provide ah, buyers next time to keep an eye, save the evidence.‏‏‏‏‏‏‏‏‏‏",service said to show,grammar,major
142,第一次在亚马逊买东西，分别感受有几点，先来说下用完商品的感受吧，第一确实是无痛，也没有刺激味道的东西，总体来说很不错的，静等8分钟左右一擦就掉了，只是会有少量的汗毛渣在上面，不细看是看不出来的，所以说总体是不错的，至于之后都就用一次还要继续观察，继续用才会知道。,"I made my first Amazon purchase with this one, I have some relevant experience, first, let me discuss how it feels to finish a product, the first benefit is that it has no unpleasant taste or sensation, Overall, it's excellent, observe for 8 minutes, overall, it is good because after using it once, you need to continue observing, and you will know if you continue to use it, wipe it left and right and it will come off, but there will be a small amount of hair residue on it, which cannot be seen until you look closely.","The first time I buy anything on Amazon, I felt a few things, firstly, I use up the product, the first is really painless, no stimulant taste, in general, it is very good, quietly wait about 8 minutes, it will just fall, just a small amount of sweat and hair on it, you can't see it, so it's generally good, and after it, it should be used again and continue to observe, continue to use it <v>only to know</v>.",only to know,grammar,major
143,电商套路深，有时间还是去超市买了。,"Since e-commerce processes are complex, I still go to the grocery store to make purchases when I have time.","E-commerce has a deep routine, so I <v>went to</v> the supermarket to buy it when I had time.",went to,grammar,major
144,商品五星，物流一星，平均三星。,"Three-star average, one-star logistics, five-star product.","Commodity five stars, <v>logistics one star</v>, average three stars.",logistics one star,grammar,major
145,说是牛皮的，也确实比较硬，但仔细看的话，局部有很多细小的裂痕，搞不清楚是否是真皮的，另外这个衣服的袖子真是让人无法理解，通常夹克的袖子要比衣摆长一些，不过通常也就1-2厘米，这件衣服足足长了5厘米，手臂自然下垂应该在手掌虎口的位置，但这件衣服的袖子都盖过手指了。,"Although it is stated to be made of cowhide and is in fact fairly hard, if you look closely, you will notice that there are numerous tiny fractures in the surrounding area, making it unclear whether the leather is real, additionally, the sleeves on this garment are completely puzzling, the sleeves of coats are typically 1-2 centimeters longer than the hem of the clothing; however, the sleeves of this dress are a full 5 centimeters long, as a result, the arms should naturally hang down in the palm of the hand, but the sleeves of this dress cover the fingers.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","The coated fabric is quite hard but if you look closely, there are many <v>cracks that</v> it is not clear whether it is leather, and the sleeve of the dress is really hard to understand. The sleeves are usually longer than the jacket, but usually 1-2 cm. The length is about 5 cm, the arms should be in the palm of the hand, but the sleeves are covered by the fingers.‏‏‏‏‏‏",cracks that,grammar,major
146,我联系厂家问手表在入库有核对时间吗?他们回复说“有”，既然有，那为啥时间相差那么多，那肯定是手表没有精确度，简单地说就是水货产品，不是我说的难听，看嘛，很明显的质量问题（数字显示不完全）都拿出来卖，是不是垃圾货。,"I contacted the manufacturer and asked if there was a time check on the watch in the warehouse, they replied ""yes"", since there is, so then why is the time difference so much? That must be because the watch is not accurate, simply put, it is a water product, not what I said, look well, as there are very obvious quality problems (digital display is not complete) and are taken out to sell, are not junk goods.","I contacted the manufacturer to ask the watch in the warehouse to check the time? They replied that ""yes"", since there is, then why the time difference so much, it must be that the watch does not have accuracy, simply put is a marine product, not what I said ugly, look, it is clear that the quality of the problem (digital display is not complete) are out to sell, <v>is not</v> junk.",is not,grammar,major
147,伊朗官方纪念伊朗革命44 周年，莱西的强硬派政府面临着要求他们下台的年轻抗议者提出的最大胆的挑战，但莱西仍然呼吁“受骗的青年”悔改，这样他们才能得到伊朗最高领导人的赦免。,"As Iran officially commemorates the 44th anniversary of the Iranian Revolution, Laissez's hardline government faces its boldest challenge from young protesters demanding their ouster, but Laissez still calls on ""deluded youth"" to repent so they can be pardoned by Iran's supreme leader.","Iran officially commemorates the 44th anniversary of the Iranian revolution. <v>Lacey's</v> hard-line government faces the boldest challenge from young protestors demanding their ouster, but Lacey still calls on “deceived youth” to repent so that they can be pardoned by Iran's supreme leader.",Lacey's,grammar,major
148,3悲剧的是等了近3天，这个专员联系了我，我手机离开了一会，没有接到这个专员的电话。,"3 The tragedy is that I just heard from the commissioner after waiting for almost 3 days, I left my phone unattended for a bit, but the commissioner didn't call.","3 The tragedy is that after waiting for nearly 3 days, this commissioner contacted me, <v>my mobile phone left</v> for a while, and I did not receive a call from this commissioner.",my mobile phone left,grammar,major
149,看来其他牌子的吸管杯把吸管做的倾斜还是有道理的，小孩子的东西，真的就是在乎安全和舒适。,"Other manufacturers of straw cups appear to tilt the straw, which makes sense, children's items are very concerned with safety and comfort.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","It seems like the leaning of the straws on <v>the other brands of</v> straw cups makes sense, a thing of the children, really care about safety and comfort.‏‏‏‏‏‏",the other brands of,grammar,major
150,剩余一只新发产品是“邮银财富添颐·鸿锦最短持有1095 天1 号” ， 也是固定收益类产品，2月10日开始募集，2月19日结束募集，风险等级为二级。,"Post Bank Fortune Tianyi Hongjin Most limited Holding 1095 Days number 1, which is additionally a fixed-income item, is the as it were other as of late propelled thing, between February 10 and February 19, cash was raised, level 2 chance is show.","The remaining new product was the 1st series, the shortest tenure of <v>Liu Jing</v> 1095 days. The other was also a fixed income product that started on February 10 and ended on February 19, the risk grade was level 2.",Liu Jing,addition,major
151,购买要慎重哦，尤其是买香港出来的东西。,"When purchasing, especially from Hong Kong, exercise caution.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","<v>The Chinese government has also issued a warning to Hong Kong residents to</v> be careful when buying, especially if it comes from Hong Kong.‏‏‏‏‏",The Chinese government has also issued a warning to Hong Kong residents to,addition,major
152,然而，第一夫人李雪主只能退到一旁。,"However, the First Lady, Ri Sol-ju, could only step aside.","First Lady Lee Xuezhong, however, was <v>forced to</v> step aside.",forced to,addition,major
153,2月10日，证监会公告称，“基金E账户”APP在各手机应用商店上架并开展公开试运行。,"On February 10, the China Securities Regulatory Commission (CSRC) announced that the ""Fund E-account"" app has been made available on various mobile app stores and is undergoing public trial operation.","On February 10, the SEC announced that the E-account app for the <v>Liquidity</v> Fund was available in mobile app stores and was in public trial operation.",Liquidity,addition,major
154,我是2015年7月30日购买该商品的，但在2016年3月份接收器右边两组就经常出现红色E2，应是发射模块出现问题吧，这与亚马逊网站上讲的发射模块可持续工作7年不大相符吧，在亚马逊网站上又找不到售后，现不知如何是好?,"I purchased this item on July 30, 2015, but in March 2016, red E2 started to show on the two groups on the receiver's right side, the transmitter module ought to be the source of the issue, this is consistent with the transmitter module's ongoing operation, as was noted on the Amazon website, I don't know what to do now because 7 years doesn't quite match and I can't find after-sales support on the Amazon website?‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","I bought this product on July 30, 2015, but in March 2016, red E2 often appeared in the two groups on the right side of the receiver. It should be a problem with the transmitter module. This is not consistent with the continuous work of the transmitter module mentioned on the Amazon website. It can not find after-sales service on the Amazon website. I don't know what to do now. <v>I don't know what to do about it</v>. I don't know what to do.‏‏‏‏‏‏‏‏‏‏‏‏‏‏",I don't know what to do about it,addition,major
155,又看了出了个紫色的挺好看的，结果买来这个今天打开一听才感觉不对劲，一边声音大一边声音小。,"I also saw one in purple that was quite attractive, but when I bought this one and opened it today, I got the strangest feeling.","<v>It was a good day, but it was a bad day, and I had to get up and go to bed.</v>","It was a good day, but it was a bad day, and I had to get up and go to bed.",addition,major
156,”  ,”‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,<v>I know.</v>‏‏‏‏‏‏,I know.,addition,major
157,因为看点评里说的都很好，所有对这款锅很有期待，拿到手的时候也很喜欢，很轻巧，但开锅的时候就发现问题了，锅底不是平的，中间突起来，周边凹下去，油都跑到周边了，特意买来的开锅大肥肉炸出好多油都没法覆盖中央区域，糊了，开锅都开不了，这样的构造估计没法正常煮菜。,"Everyone is anticipating this pot because of the positive comments, When I first got it, I really liked it, although it is quite lightweight, there was an issue when I opened the pot, the pot's bottom is not perfectly flat, the oil has spread to the edges if it has sunk, Large, fatty meat that was particularly purchased is fried in so much oil that it cannot cover the entire surface of the pot.","Because the comments are very good, everyone is looking forward to this pot, and I like it when I get it, it is very light, but when I opened the pot, I found a problem, the bottom of the pot is not flat, the middle is protruding, and the periphery <v>If</v> it is sunken, the oil has gone to the periphery. The large fat meat that was bought specially in a boiled pot was fried so much oil that it could not cover the central area.",If,addition,major
158,用了很久，除了低音出不来，总体还不错。,"Though the bass does not come through, other than that, it has been in use for a while, and the entirety is not poor.","It took a long time, except for the bass, which was not good in general<v>, except for the bass</v>.",", except for the bass",addition,major
159,各地高校捐精其中北京捐精门槛最高，除学历外，也要求身高170公分以上、五官端正、无明显脱发、近视度数不能高于600度。,"Various universities donate sperm among which Beijing donates sperm  with the highest threshold, in addition to academic qualification, theyalso requires a height of 170 cm or more, good facial features, no significant hair loss, and a degree of myopia  not  higher than 600 degrees.","The highest threshold for sperm donation is set by the Beijing <v>University of Applied Sciences</v>, which requires a height of 170 cm or more, five-leggedness, no obvious hair loss, and a near-sightedness of 600 degrees.",University of Applied Sciences,addition,major
160,3XL，平铺腰围2尺5，拉伸最大尺寸4尺，1.79/80公斤穿着腰有点紧。,"The waist is a little snug in a 3XL, the flat measurement is 2 feet 5, the maximum stretch is 4 feet, and the weight is 1.79/80 kg.","3XL, with a flat waist circumference of 2 feet 5 and a maximum stretch size of 4 feet. <v>It is 1 foot.</v> Wearing 79/80kg at the waistline, the waist is a bit tight.",It is 1 foot.,addition,major
161,模仿老港片影调、配上经典粤语歌，打开@芳芳一人食抖音账号，精美的视频令人耳目一新。,Check out @Douyin for a stunning video with a vintage Hong Kong film style and classic Cantonese music.,"The song is a parody of the original song, and features the same lyrics as the original song, <v>but with a slightly different lyrics and a slightly different sound. </v>",but with a slightly different lyrics and a slightly different sound. ,addition,major
162,给个建议，亚马逊的app 上晒单怎么有时晒不了，希望能改进一些应用，会做的越来越好的！,"Please make a suggestion, as to why the listing on the Amazon app occasionally cannot be submitted, as I would like to enhance some apps, so that they perform better and better!‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Give <v>me</v> a suggestion, why sometimes the listing on Amazon's app can't be posted, I hope to improve some apps, and it will do better and better!‏‏‏‏‏‏‏‏",me,addition,major
163,说明亚马逊根本就不重视服务反馈这一块，和国内的京东、天猫等差太远了。,It demonstrates how poorly Amazon responds to customer complaints and how far behind domestic rivals JD dot com and Tmall it is.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,"It shows that Amazon simply does not pay attention to the service feedback <v>piece</v>, and the domestic Jingdong, Tmall, etc. is too far away.‏‏‏‏‏‏‏‏‏‏‏",piece,addition,major
164,战略方向确定后，杉杉开始寻找合作，那时候鞍山热能院为鞍钢配套的炭素研究所在做国家863课题，科研经费不够，于是杉杉和鞍山热能院碳素研究所签署合作协议，共同推动国家863课题“中间相炭微球”项目产业化，从事负极材料的研发、生产和销售，在国内实现负极材料的商用推广。,"After the strategic direction was determined, Sugo started to look for cooperation, and at that time, the Carbon Research Institute of Anshan Thermal Energy Institute was doing the national 863 project for Anshan Iron and Steel, and the research funds were not enough, so Sugo and the Carbon Research Institute of Anshan Thermal Energy Institute signed a cooperation agreement to jointly promote the industrialization of the national 863 project ""intermediate phase carbon microspheres"" and engage in the research and development, production and sales of negative electrode materials, so as to realize the commercial promotion of negative electrode materials in China.‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","After the strategic direction was determined, Suzuki started to look for cooperation. At that time, the Busan Institute of Thermal Energy's Carbon Institute was doing the national 863 project for aluminum, and the research funding was not enough. Suzuki and Suzuki signed a cooperation agreement to jointly promote the industrialization of the national 863 phosphates microcarbon spherical projects <v>in the field of nitrogen and magnesium</v>, and engaged in the research, production, and sales of negative polar materials, and the commercial promotion of negative polar materials in the country.‏‏‏‏‏‏",in the field of nitrogen and magnesium,addition,major
165,（综合11日电）朝鲜8日晚间举行建军节第75周年阅兵仪式，领导人金正恩的女儿金主爱不仅出席，还与父亲一同站上主席台。,"""(General 11) - North Korea held a military parade on the 75th anniversary of Army Day on the evening of the 8th, and leader Kim Jong-un's daughter Kim Jong-ae not only attended but also stood on the podium together with her father.""","North Korea held a military parade on the 75th anniversary of the founding of the country on the evening of <v>August</v> 8, with leader Kim Jong-un's daughter Kim Hye-jae not only attending but also standing on the podium with her father.",August,addition,major
166,因为看点评里说的都很好，所有对这款锅很有期待，拿到手的时候也很喜欢，很轻巧，但开锅的时候就发现问题了，锅底不是平的，中间突起来，周边凹下去，油都跑到周边了，特意买来的开锅大肥肉炸出好多油都没法覆盖中央区域，糊了，开锅都开不了，这样的构造估计没法正常煮菜。,"Everyone is anticipating this pot because of the positive comments, When I first got it, I really liked it, although it is quite lightweight, there was an issue when I opened the pot, the pot's bottom is not perfectly flat, the oil has spread to the edges if it has sunk, Large, fatty meat that was particularly purchased is fried in so much oil that it cannot cover the entire surface of the pot.","Because the reviews are very good, everyone is looking forward to this pot, and they like it very much when they get it. It is very light, but when they open the pot, they find a problem. The bottom of the pot is not flat, the middle protrudes, the periphery is concave, and the oil runs to the periphery. The specially bought big fat meat fried out a lot of oil. It can't cover the central area. <v>If</v> it is pasted, the pot can't be opened. It is estimated that this structure will not be able to cook vegetables normally.",If,addition,major
167,开始我以为是那首歌音效的缘故没有多想，可后来听了半天我才发现这个问题很严重，不光偏音，低音效果也没我之前那个听起来好了，还有些许杂音，是只有我买的这个紫色的有这个现象吗？还是现在耳机制造工艺确实不行了呢?,"I initially assumed it was just the song's sound effect and didn't give it much attention, but after giving it a lot of time I realized the issue was quite significant, the bass effect was not as good as my prior one, in addition to the pitch deviation, additionally, there was some noise, has the purple one I purchased had this phenomenon? Or is the current earphone manufacturing method ineffective?","At first I thought it was because of the sound effect of the song did not think much, but then listened to half a day I realized that this problem is very serious, not only partial sound, bass effect is not as good as my previous one sounds, there is a little noise, is it only I bought this purple have this phenomenon? <v>Or is it just the purple color that I bought?</v> Or is it just the manufacturing process of headphones that is not working?",Or is it just the purple color that I bought?,addition,major
168,一些证据表明，欧洲也有注射新型精神活性物质兴奋剂的现象：一项对欧洲六个城市废弃注射器残留物的研宄发现，许多注射器都沾有产生兴奋作用的新型精神活性物质》,"There's a few sign that NPS stimulants are infused in Europe as well: Much of the remains from utilized syringes are recolored with NPS, which can deliver stimulants, agreeing to a ponder done on them in six European cities‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","Some evidence suggests that injection of new psychoactive substances (NPS) is also a phenomenon in Europe: a study of discarded syringe residues in six European cities found that many syringes were laced with the new psychoactive substance, <v>mercury,</v> which produces an exciting effect‏‏‏‏‏","mercury,",addition,major
169,非医疗使用大麻合法化的法域大多有大麻使用增多的趋势,Cannabis utilization contains a inclination to rise in purviews where it is authorized for recreational utilize,Most jurisdictions where non-medical use of cannabis is legalized have seen an increase in cannabis use<v>.</v>,.,addition,major
170,但是这次购买L号的尿布，一箱里面有2包分开包装，打开后就觉得纸张比较松，跟进口帮宝适有明显区别，给宝宝用了之后，还算可以，没有漏尿也没有红疹等迹象。,"However, I purchased L-size diapers this time, 2 packs, each packed separately, are contained in a box, When I opened it, the paper felt loose, which is certainly not the case with imported Pampers, red rash and further symptoms.","<v>For example, </v>in the case of the ""L"" diaper, there are two separate bags of diapers, and when the bag is opened, it is felt that the paper is looser than it should be, and there is no sign of a rash or urine leak after it has been used for babies.","For example, ",addition,major
171,亚洲– 2月9日，菲律宾总统小马科斯（Bongbong Marcos）造访日本，与首相岸田文雄会谈。,"""Asia - On February 9, Philippine President Bongbong Marcos visited Japan and held talks with Prime Minister Fumio Kishida.""","ASIA - On February 9, Philippine President Bongbong Marcos, <v>Jr.</v> visited Japan for talks with Prime Minister Fumio Kishida.",Jr.,addition,major
172,综合韩国“朝鲜新闻”等报导，金正恩、李雪主夫妇7日带著女儿金主爱出席晚宴的官方合照中，金主爱不仅罕见坐在父母正中间C位，在隔日晚间建军节第75周年阅兵仪式上，她还与金正恩一起登上主席台。,"Based on South Korean ""North Korea News"" and other reports, in the official group photo of Kim Jong-un and Li Xuezhu with their daughter Kim Joo-ae attending the dinner on the 7th, Kim Joo-ae is not only rarely sitting in the Center seat between her parents, but also on the 75th anniversary of the Army Day the next night at the military parade, she also stood on the rostrum with Kim Jong-un.","Based on South Korea's “North Korea News” and other reports, Kim Jong-un, Li Xuejun <v>and his wife</v> took their daughter Kim Jae-ae to attend the dinner on the 7th. In the official group photo, Kim Jae-ae not only rarely sat in the middle of her parents in the C position, she also boarded the podium with Kim Jong-un at the 75th anniversary military parade on the evening of the next day.",and his wife,addition,major
173,朝鲜官媒9日公布影片，金主爱依偎在父亲身边，数次温情对视、讲悄悄话，她用双手轻捧老爸的脸颊，甚至摸著父亲胸口，父女互动画面播送至举国上下。,"The official media of the DPRK released a video on the 9th, the main love of Kim nestled next to her father, several times warm look at each other, whispering, she gently cupped her father's cheeks with both hands, and even touched his chest, father-daughter interaction images broadcast to the whole country.","The film was released by the North Korean state media on <v>September</v> 9, and the owner of the money snuggled up to her father, looked at him with affection several times, and whispered, she held her father's cheek with both hands, even touched the father's chest, and the father and daughter interacted with each other throughout the country.",September,addition,major
174,“基金E账户”来了：证监会授权开发投资者名下所有基金实现归集和查询- 经济观察网－ 专业财经新闻网站,"""Fund E Account"" is here: China Securities Regulatory Commission authorizes the development of all funds under the investor's name to achieve collection and query - Economic Observation Network - Professional Financial News Website",The E account of the <v>Hedge</v> Fund is blocked: the SEC authorized the development of all funds under the name of investors for aggregation and searching. - Economic Watch Network - Professional Financial News Website,Hedge,addition,major
175,综合韩国“朝鲜新闻”等报导，金正恩、李雪主夫妇7日带著女儿金主爱出席晚宴的官方合照中，金主爱不仅罕见坐在父母正中间C位，在隔日晚间建军节第75周年阅兵仪式上，她还与金正恩一起登上主席台。,"Based on South Korean ""North Korea News"" and other reports, in the official group photo of Kim Jong-un and Li Xuezhu with their daughter Kim Joo-ae attending the dinner on the 7th, Kim Joo-ae is not only rarely sitting in the Center seat between her parents, but also on the 75th anniversary of the Army Day the next night at the military parade, she also stood on the rostrum with Kim Jong-un.","In the official photo of Kim Jong-un and Lee Hye-seok attending the dinner with their daughter Kim Hye-jae on <v>July</v> 7, Kim Hye-jae is not only seen sitting in the middle of the table in the middle of the table, but also on the stage with Kim Jong-un at the parade for the 75th anniversary of the founding of the People's Republic of Korea on the following night.",July,addition,major
176,而且商品产品包装问题，我看评论2016年就有人评论过，到现在19年，还是老样子。,"And the issue with product packaging hasn't changed in 19 years, according to comments I read in 2016, Someone left a comment about it.","And the packaging of the products, I see comments <v>on it</v> from people who commented on it in 2016, and now 19 years later, it's still the same.",on it,addition,major
177,个人觉得还可以接受，一来价格便宜，且700多页分成两本，作为平装本也较好翻阅；二来是不同于米开朗基罗全集那本，画作占了主体，达芬奇这本黑白手稿占了大部分，对于预算有限的、非美术专业读者而言，这版作为欣赏画作和手稿的性价比是最高的。,"Personally, I believe it to be appropriate, First off, it's inexpensive, and it comes in two paperback volumes with a combined total of more than 700 pages, It differs from Michelangelo's full works, which are primarily made up of paintings, in two ways, the majority of Da Vinci's manuscripts are in black and white, this edition is the most affordable for readers with tight budgets and non-art majors to appreciate paintings and writings.","Personally, I think it's acceptable. First, the price is cheap, and more than 700 pages are divided into two books. As a paperback book, it's better to read it. Second, unlike Michelangelo's Complete Works, paintings account for the main body. Leonardo da Vinci's black-and-white manuscript accounts for the majority. For readers with limited budgets and non-art majors, this edition is the highest cost-effective for appreciating paintings and manuscripts. <v>The highest cost-effectiveness of appreciation works and manuscripts is the highest</v>.",The highest cost-effectiveness of appreciation works and manuscripts is the highest,addition,major
178,新华社评论员,Xinhua News Agency Commentator,<v>The Chinese government has not yet responded to the report</v>.,The Chinese government has not yet responded to the report,addition,major
179,"以下功能左右耳机均可操作, 轻按一下来电时，接听电话; 通话或去电中，挂断电话音乐时，播放/暂停音频,长按约1 秒释放","Earbuds control features, answer calls, hang up, play/halt music, long press for one second to release,","The following functions can be operated on both left and right earphones. When you tap an incoming call, answer the phone; when you hang up the phone music during a call or an outgoing call, play/pause the audio, and press and hold for about 1 second to release <v>the music for about 1 second</v>.",the music for about 1 second,addition,major
180,其他官媒画面也显示，金主爱与金正恩坐在室内沙发椅上时，用手不断摸著父亲的脸；她与父亲挽著手走路时，一边用手摸在金正恩的胸口。,Other official media footage also shows Kim Jong-ae touching her father's face with her hand while sitting on a sofa chair in the room with Kim Jong-un; she touches her hand on Kim Jong-un's chest while walking arm-in-arm with her father.,"Other official media footage also showed that Kim Ju-ae <v>and Kim Jong-un</v> kept touching his father's face with his hand when he sat on the indoor sofa chair; As she walked arm in arm with her father, she touched Kim Jong-un's chest with her hand.",and Kim Jong-un,addition,major
181,（德国之声中文网）距离土耳其和叙利亚部分地区发生地震已经过去数日，找到幸存者的希望日渐渺茫，然而在周六获救的一家五口却令搜救人员感到无比欣慰。,"((Deutsche Welle Chinese) Days have passed since the earthquake struck parts of Turkey and Syria, and hopes of finding survivors are fading, but the family of five rescued on Saturday was a great relief to searchers.","Days after earthquakes struck parts of Turkey and Syria <v>Chinese</v>, there is little hope of finding survivors, but the rescue of a family of five rescued on Saturday is a source of great relief.",Chinese,addition,major
182,推进中国式现代化，要增强战略的前瞻性，以科学的战略预见未来、引领未来；要增强战略的全局性，着眼于解决事关党和国家事业兴衰成败、牵一发而动全身的重大问题；要增强战略的稳定性，战略一经形成，就要长期坚持、一抓到底、善作善成。,"""To promote China's style of modernization, we need to enhance the strategic foresight, scientifically anticipate and lead the future; we need to enhance the strategic comprehensiveness, focusing on addressing major issues that are crucial to the success or failure of the Party and the country; we need to enhance the strategic stability, once a strategy is formulated, it should be adhered to for the long term, implemented consistently, and achieved with excellence.""‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏","To promote Chinese-style modernization, it is necessary to enhance the foresight of the strategy, foresee the future with a scientific strategy, and lead the future with a scientific strategy. It is necessary to enhance the overall nature of the strategy, focusing on solving major issues related to the success or failure of the cause of the party and the country, affecting the whole body <v>and affecting the whole body</v>. To enhance the stability of the strategy, once the strategy is formed, it is necessary to adhere to it for a long time, grasp it to the end, and do a good job.‏‏‏‏‏‏‏‏‏‏‏‏‏‏",and affecting the whole body,addition,major
183,显示10月16号到，结果21号才收到，差评！,"Although it appears to have arrived on October 16, it was actually just received on October 21, Poor reviews!","Retrieved October 21<v>, 2016.</v> 【結果】 １０ 月 １０ 日 （ 日 ） 板橋グリーンホール.",", 2016.",addition,major
